Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
No,ai,Satyanand Kale,Senior Software Development Engineer,Amazon,,,,Leveraging Large Language Models for Advanced AI Applications: A Comprehensive Guide,"Unveil how Large Language Models (LLMs) like GPT and Turing NLG transformed trademark identification, reducing audits by 80% and doubling productivity in content creation. Explore their impact across industries, with a 50% boost in material recovery and a 40% improvement in customer service.",https://www.linkedin.com/in/satyanand-kale-a8002183/,,,,,Satyanand Kale_obs.png,,"leveraging,large,language",
No,ai,Siddarth Jain,Co-Founder,Doctor Droid,,,,AI in Observability: Hype or Reality?,"""LLMs will replace engineers"" The last 2 years have been all about the AI wave.

I am an ML engineer in since last 7 years and since 2 years in Observability. In this talk, I will de-bunk all the myths about what part of Observability & Monitoring will be automated with AI and what will not.",https://www.linkedin.com/in/siddarth-jain227/,@TheBengaluruGuy,,,,Siddarth Jain_obs.png,,"ai,observability,hype",
No,ai,Venkata Raj Kiran Kollimarla,Lead Machine Learning Engineer,Block,,,,Navigating Observability Challenges: Maximizing Generative AI Potential and Mitigating Deep Fake Risks,"Unlock the power of generative AI while protecting against deep fake threats. Learn how detection algorithms, blockchain, and cryptographic watermarking can safeguard digital content. Join us for insights on maximizing innovation and fostering secure, responsible tech use",https://www.linkedin.com/in/kollimarla/,,,,,Venkata Raj Kiran Kollimarla_obs.png,,"navigating,challenges,maximizing",
No,ai,Abhi Ram Reddy Salammagari,Senior Software Engineer,[24]7.ai,,,,Advancing User Interactions: The Role of Adaptive Chatbots in Personalized Communication and Learning,"Discover how adaptive chatbots revolutionize communication by learning from interactions to boost user engagement by 20% and cut response times by 30%. Explore how AI, especially ML and NLP, enhances accuracy and user satisfaction, while tackling key challenges in privacy and automation.",https://www.linkedin.com/in/abhiram3040/,,,,,Abhi Ram Reddy Salammagari_obs.png,,"adaptive,chatbots,personalized",
No,cloud,Nikolay Sivko,Founder & CEO,Coroot,,,,Troubleshooting Microservice Architectures,"Learn to gather essential information, design efficient dashboards, and leverage observability signals like metrics, logs, and traces for deeper insights.",https://www.linkedin.com/in/nikolay-sivko/,@NikolaySivko,,,,Nikolay Sivko_obs.png,,"microservice,architectures,troubleshooting",
No,cloud,Preetham Vemasani,Senior Software Engineer,Uber,,,,Dynamic Resource Allocation and Cost Efficiency in Cloud Computing: Empirical Insights and Future Directions,"Explore how auto-scaling transforms cloud computing efficiency and performance! Dive into real-world success stories from AWS, Netflix, and Airbnb, uncovering strategies that cut costs by 50% and enhance system responsiveness. Discover future trends like AI-driven scaling.",https://www.linkedin.com/in/preetham-vemasani/,,,,,Preetham Vemasani_obs.png,,"dynamic,resource,allocation",
No,data,Costa Tsaousis,Founder & CEO,Netdata,,,,"Netdata: Open Source, Distributed Observability Pipeline - Journey and Challenges","Netdata: open source, distributed observability pipeline. Higher fidelity, easier scalability and lower cost of ownership, but there are challenges too. An overview of the journey and the challenges we face while building Netdata.",https://www.linkedin.com/in/costatsaousis/,@CostaTsaousis,,,,Costa Tsaousis_obs.png,,"distributed,pipeline,challenges",
No,data,Divine Odazie,Technology Evangelist,Severalnines,,,,From Metrics Tsunami to Actionable Insights: Simplifying Database Troubleshooting,"We've all been there: drowning in a sea of database metrics, struggling to find a needle in the haystack during an investigation. This talk breaks free from the ""more data, more graphs"" mentality. We'll explore how to move from information overload to actionable insights in database troubleshooting.",https://www.linkedin.com/in/divine-odazie/,@_odazie,,,,astronaut_obs.png,,"metrics,tsunami,troubleshooting",
No,data,Egor Karitskiy,Head of IT infrastructure,Wildberries,,,,Understanding Data Center Engineering Systems: A Concise Guide for Developers. Key Insights to Consider,"Unlock the secrets of data center engineering! Join me at Observality to demystify complex systems, optimize performance, and bridge development with operations.",https://www.linkedin.com/in/egor-karitskiy-7a13636,,,,,astronaut_obs.png,,"data,developers,insights",
No,debugging,Steven Coochin,Chief Innovation Officer,Lilypad Network,,,,Darting around with DartFrog Debugging,"Experience the groundbreaking DartFrog framework by Very Good Ventures (VGV). Swift, scalable, and bridging frontend to backend effortlessly. Witness its speed, scalability, and Open Telemetry in action. The future of app development is here! 🚀",https://www.linkedin.com/in/developersteve/,@developersteve@,,,,Steven Coochin_obs.png,,"dartfrog,debugging,darting",
No,debugging,Srijan Rastogi,Golang Developer,gofr.dev,,,,No More Flying Blind - Unlock Observability for Smooth Sailing with GoFr,"Streamline your Go development with GoFr. Its advanced logging features go beyond basics, offering customisable levels for faster debugging and seamless integration with default & custom app performance data with metrics & distributed tracing.",https://www.linkedin.com/in/srastogi751/,@srastogi27,,,,Srijan Rastogi_obs.png,,"smooth,unlock,sailing",
No,debugging,Veeral Patel,Software Engineer,Abnormal Security,,,,"Rapid Production Debugging with Cribl, Clickhouse, and Hex","Hypothetical: One EC2 rack, in one AWS datacenter you use, is much slower than normal. So some user requests are intermittently much slower than others. Can you debug this?

This talk talks about how you can instrument your application so you can debug issues like this - and within minutes.",https://www.linkedin.com/in/veeral-patel-6b6730132/,,,,,Veeral Patel_obs.png,,"production,debugging,cribl",
No,deep dive,Leonid Yankulin,Developer Relations Engineer,Google,,,,Praemonitus praemunitus: use actionable alerts to fix problems quickly,"How to react to something happening with application as fast as possible? How to reach SLOs beyond three nines (99.9%)? The answer is to automate reaction to an incident and to automate triggering this reaction. How to implement it? The answer is ""Actionable Alerts"".",https://www.linkedin.com/in/minherz/,,,,,Leonid Yankulin_obs.png,,"actionable,alerts,fix",
No,deep dive,Prathamesh Sonpatki,Developer Evangelist,last9,,,,Blessings of High Cardinality Metrics,"High Cardinality metrics pose challenges due to their operational cost. However, in cloud-native and distributed systems, they offer valuable insights. Rather than discarding them, let's manage them by implementing strategies like pre-aggregation and flow control to manage their impact effectively.",https://www.linkedin.com/in/cha1tanya/,@_cha1tanya,,,,Prathamesh Sonpatki_obs.png,,"high,cardinality,metrics",
No,deep dive,Roman Khavronenko,Co-Founder,VictoriaMetrics,,,,How to Measure PromQL / MetricsQL Expression Complexity,"Dive into the complexities of PromQL/MetricsQL expressions with Roman! Learn about query processing stages, identify bottlenecks, and discover speed optimizations for distributed processing.",https://www.linkedin.com/in/roman-khavronenko-47b51a63/,@hagen1778,,,,Roman Khavronenko_obs.png,,"measure,promql,metricsql",
No,monitoring,Ruchir Jha,CEO,Cardinal,,,,The Secret Life of Observability ROI or How to Spy on your Spyware?,Ever have a rogue debug log or a sneaky high cardinality tag given you a heart attack when the Bill comes out? Surprise Observability Bills should stop being a thing! Learn the first principles of Financially Sustainable Monitoring that we have learnt from our fair share of war stories.,https://www.linkedin.com/in/ruchirpjha/,@rjhalive,,,,Ruchir Jha_obs.png,,"secret,life,roi",
No,monitoring,Shyam Sreevalsan,Senior Technical Product Manager,Netdata,,,,Why Decentralized Monitoring Matters,Ever felt frustrated by the slow detection & resolution of issues? Ever wondered why monitoring systems are always centralized when infrastructures are highly distributed? You're not alone. DevOps & SREs face challenges with centralized monitoring systems that often fall short in modern environments,https://www.linkedin.com/in/shyamvalsan/,@shyamvalsan,,,,Shyam Sreevalsan_obs.png,,"decentralized,monitoring,matters",
No,monitoring,Swapnil Kulkarni,Customer Success Engineer,Kloudfuse,,,,"Observability, what it is & what it can be!","Observability is the market buzzword and every organization using monitoring tools, wants to have an observability stack in place. Setting up the tools is only one part of the stack but using it right is still a mystery to many, which is the primary goal of this talk.",https://www.linkedin.com/in/meswapnilk/,@MeSwapnilK,,,,Swapnil Kulkarni_obs.png,,"observability,what,be",
No,monitoring,Kirill Ezhemenskii,Software Engineer,Ornament Health,,,,The Evolution of Observability: From Monitoring to Distributed Tracing with React and Redux,"Explore how observability has evolved from basic monitoring to sophisticated distributed tracing, unveiling the inner workings of modern applications.",https://www.linkedin.com/in/cirych/,,,,,astronaut_obs.png,,"distributed,react,redux",
No,monitoring,Omotayo Alimi,Senior Software Engineer,Ceedees Investments,,,,The Next Frontier: Observability in Machine Learning Systems,"Discover the power of observability in machine learning systems! Learn how real-time monitoring and debugging enhance reliability and performance, driving better decisions and customer satisfaction.",https://www.linkedin.com/in/omotayo-alimi-0700832a1/,,,,,astronaut_obs.png,,"machine,frontier,systems",
No,monitoring,Julia Furst Morgado,"Global Technologist, Product Strategy",Veeam Software,,,,Auto-Observability: Make your Node.js app monitorable!,"Unlock the power of Auto-Observability for Node.js with OpenTelemetry! Dive into a world where application monitoring is automated, efficient, and insightful, transforming your development workflow and application performance without the manual hassle!",https://www.linkedin.com/in/juliafmorgado/,@juliafmorgado,,,,Julia Furst Morgado_obs.png,,"node.js,app,monitorable",
No,opentelemetry,Anais Dotis-Georgiou,Lead Developer Advocate,InfluxData,,,,Harnessing the Power of time series databases and OpenTelemetry,"Come learn about how to leverage OpenTelemetry with InfluxDB v3 Cloud, Jaeger, and Grafana for a application monitoring solution complete with logs, traces, metrics, and events!",https://www.linkedin.com/in/anais-dotis/,,,,,Anais Dotis-Georgiou_obs.png,,"time series,opentelemetry,power",
No,opentelemetry,Justin Scherer,Lead Software Engineer,Northwestern Mutual,,,,Tracing For Everything - RESTifying OpenTelemetry Traces,"OpenTelemetry is an easy way to get instant observability in your system. But, it is not available for everything. What if it was and it was as simple as calling a service? With our new OpenTelemetry REST service it is now as simple as calling a couple endpoints!",https://www.linkedin.com/in/justin-scherer-198126160/,,,,,Justin Scherer_obs.png,,"restifying,traces,tracing",
No,opentelemetry,Zameer Fouzan,Senior Developer Relations Engineer,New Relic,,,,"OpenTelemetry 101: A Beginner's Guide to Tracing, Metrics, and Logs on Observability","OpenTelemetry is a powerful framework that enables the collection & management of telemetry data from distributed systems. This talk covers using of OTel, to instrument a simple application to capture Traces, Logs & metrics & exporting it to various observability backends.",https://www.linkedin.com/in/zmrfzn/,@zmrfzn,,,,Zameer Fouzan_obs.png,,"opentelemetry,beginner's,tracing",
No,opentelemetry,Steve Flanders,Engineering Leader,Splunk,,,,Mastering OpenTelemetry Collector Configuration,"Are you struggling to make sense of your telemetry data or overwhelmed by your system's sheer volume and complexity? Learn how the OpenTelemetry Collector can help you streamline data collection, optimize performance, and gain unparalleled insights into your applications.",https://www.linkedin.com/in/steveflanders/,@smflanders,,,,Steve Flanders_obs.png,,"mastering,collector,configuration",
No,security,Giriprasad Manoharan,Senior Data Engineer,Atyeti,,,,Enhancing Banking Security: Leveraging AI and Data Engineering for Effective Fraud Detection and Prevention,"Discover how AI and advanced data engineering revolutionize fraud detection in banking! Our research showcases cutting-edge techniques boosting detection rates up to 90%, reducing false positives by 25%, and enhancing operational efficiency. Learn from success stories at top banks.",https://www.linkedin.com/in/giriprasad-manoharan-ab528b154/,,,,,Giriprasad Manoharan_obs.png,,"ai,fraud,detection",
No,security,Pratik Thantharate,Principal Software Engineer in Test,Paycor,,,,Forging a Secure and Observable DevOps Frontier with AI/ML,"Harness AI/ML to revolutionize observability and threat detection in DevOps environments. Explore intelligent anomaly detection, automated root cause analysis, threat modeling, and vulnerability management. Gain insights into integrating AI/ML into DevOps for secure, observable software delivery.",https://www.linkedin.com/in/pratikt1988/,,,,,Pratik Thantharate_obs.png,,"secure,observable,devops",
No,sre,Praveen Kasam,Expert Site Reliability Engineering Leader,Diconium Digital Solution,,,,Observability Maturity Model,"Praveen, 14+ yrs in tech, proposes the 'Observability Maturity Model'. Expert in SRE at diconium, aiming to align business & tech through observability for peak operational excellence",https://www.linkedin.com/in/kasampraveen/,,,,,Praveen Kasam_obs.png,,"observability,maturity,model",
No,sre,Rob Sandler,Global Observability Sales Strategist,Splunk,,,,I Want to be and SRE,How does a systems or network admin advance to being an SRE? What are some techniques that SREs use? What are the end results? What does all of this look like?,https://www.linkedin.com/in/sandlerrob/,,,,,Rob Sandler_obs.png,,"sre,want,be",
No,tools,Avi Press,Founder & CEO,Scarf,,,,Open Source Success: Learnings from 1 Billion Downloads,Walk away with actionable insights and best practices to optimize your open source initiatives and excel in this competitive landscape,https://www.linkedin.com/in/avi-press-4437a356/,@avi_press,,,,Avi Press_obs.png,,"billion,downloads,learnings",
