Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
No,agents,Girish Konda,Principal Software Engineer,Microsoft,,,,Your Agent Is Confidently Wrong: Guardrails for Agentic AI in Real Engineering Work,"Most agentic AI talks show the demo that worked. This one shows the ones that didn't, and what I changed after.  I am a Principal Engineer in Microsoft Fabric, where I am the tech lead and architect for capacity management. For the past year I have run AI agents against my actual job: incident triage, digging through telemetry, code review, and multi-step operational runbooks on a live multi-tenant platform. This talk is what I learned about trusting what they give back.  The capability is real. The failure modes are too, and they are not the ones the demos prepare you for. An agent hands you a number with no source and it reads like arithmetic. It cites documents that do not exist. One wrong fact spreads into every artifact it touches, and then it argues with you when you challenge it. Long sessions drift away from the facts. None of it looks like an error. It looks like a confident, well-formatted answer, and that is exactly what makes it expensive to catch.  This talk is about the discipline that makes agents safe to keep using. Force sources inline, so a claim with no source cannot survive. Verify before recommending, not after. Make the agent write its corrections down where you can see them. Keep ""submitted"" and ""confirmed"" as separate states in anything an agent tracks, because an agent will collapse them.  I will go through what I ended up with, the guardrails that held up, and the ones I dropped. You will leave knowing how to tell whether your agent is working or just sounds like it is.",https://www.linkedin.com/in/venkatasaigirishkonda,,,,,Girish Konda_featureflags.png,,"agent,guardrails,ai",
No,agents,Nevasini Sasikumar,Machine Learning Researcher,Obin AI,,,,You Can't Flip a Flag at Step 17: Progressive Rollout for Autonomous Agents,"Feature flags assume two things: that the unit of release is a code path, and that you can turn it off at any moment. Autonomous agents break both.  I build computer-use agents at Obin AI — models that read screens, operate real desktop and web software, and complete document and back-office workflows inside regulated financial institutions. Shipping a change to one of these is not shipping a code path. It is granting a capability: the agent may now click Submit itself instead of stopping for a human. And you cannot revoke that mid-flight, because at step 17 of a 30-step workflow the agent has already mutated state in someone else's system.  This talk is the flag design we ended up with, and why the obvious version failed.  Rollout dimensions that turned out to matter, in order: autonomy level (suggest → draft → execute-with-review → execute unattended) is the axis that actually maps to risk, not percentage-of-traffic; per-tool grants, so blast radius is bounded by which tools the flag opens rather than by the agent's judgment; per-workflow rather than per-user, because the risk lives in the task, not the person; and per-tenant, because one institution's appetite is not another's.  Flag evaluation inside a long episode. Flags must be pinned at episode start and carried through, not re-read per step — otherwise the agent's behaviour changes underneath itself, and worse, you can no longer reconstruct months later why it did what it did. That reconstruction is an audit requirement, so the flag snapshot becomes part of the trace.  Kill switches that are actually safe. A hard stop mid-trajectory can leave a workflow half-applied. I will cover designing a drain state instead: refuse new episodes, let in-flight ones reach the next verifiable checkpoint, and stop there.  And measuring the rollout when the metric is cost per completed task and outcomes arrive hours later — which makes conventional percentage ramps close to useless.  Takeaways: an autonomy-level flag taxonomy, why to pin flags per-episode, and a drain-based kill switch design.",https://www.linkedin.com/in/nevasini-sasikumar/,,,,,Nevasini Sasikumar_featureflags.png,,"flag,rollout,agents",
No,agents,Parthiban Rajasekaran,Principal Dev Engineer,Capital One,,,,Your AI Kill Switch Is Probably Broken,"Your autonomous agent starts making the wrong production calls.  You flip the kill switch.  The dashboard says Disabled.  Thirty seconds later, tool calls are still being executed.  Why?  Because changing a feature flag can stop new work without terminating work that is already in flight.  Most feature flags are admission controls. A real kill switch also needs cancellation semantics.  Feature flags are increasingly being used to control models, prompts, tools, routing, and agent behaviour at runtime. But autonomous systems introduce failure modes that ordinary feature toggles were never designed to solve: active tool executions that never re-evaluate the flag, stale provider state during connectivity failures, asynchronous workers operating from cached configuration, and fallback paths that have not seen production traffic in months.  In this 15-minute lightning talk, I will stage an automated Kill-Switch Fire Drill against a running agent loop and show three things:  1. The Admission-Control Trap: why disabling the flag blocks new agent runs while existing executions continue. 2. The Stale-State Trap: how cached state and provider failover can leave different workers with different views of whether the agent is actually enabled. 3. The Containment Proof: how to combine flag-evaluation events with OpenTelemetry and assert that active runs and tool calls reach zero within a defined containment SLO.  We will encode the expected behaviour in a small machine-readable Kill-Switch Contract, then deliberately flip the flag and prove whether the system actually obeys it.  I will also show the failure modes teams usually discover too late: fail-open defaults, stale fallback paths, partial shutdown, and an agent that still has access to the same control plane intended to contain it.  The takeaway is simple:  A flag value is intent. Containment is something you have to prove.  If your kill switch has never been exercised, do not wait for an AI incident to discover what it really switches off.",https://linkedin.com/in/parthiban-rajasekaran,,,,,Parthiban Rajasekaran_featureflags.png,,"ai,kill,switch",
No,agents,Pavan Boppidi,STAFF SOFTWARE ENGINEER,WALMART,,,,Feature-Flagged Autonomy: Confidence-Gated Human-AI Logistics Systems,"As organizations adopt agentic AI, a key challenge is introducing autonomous decision-making safely while maintaining governance, compliance, and human oversight. This session presents a cloud-native framework for autonomous logistics that combines confidence-gated Human-in-the-Loop collaboration with feature-flag-driven operational control, enabling teams to deploy autonomous capabilities incrementally rather than through high-risk, all-or-nothing transitions.  The architecture integrates serverless infrastructure, edge computing for safety-critical decisions, multi-agent reinforcement learning, and a governance-first control layer. At its core is a dynamic decision-routing mechanism that assigns authority between AI agents and human operators based on real-time confidence evaluation instead of static rules. Feature flags are used to progressively enable, test, monitor, and roll back autonomous behaviors across operational workflows, providing a practical mechanism for reducing deployment risk while maintaining operational continuity.  The session explores architectural decisions, implementation patterns, and governance controls that support safe rollout of agentic systems in production environments. It addresses two common enterprise challenges: unreliable autonomous decisions in unfamiliar conditions and the emergence of ungoverned ""shadow AI"" systems operating outside established compliance frameworks. The framework incorporates policy enforcement, auditability, controlled system interaction, and decision monitoring directly into the operational workflow.  Attendees will learn how confidence-based decision routing and feature-flag strategies can work together to govern autonomous systems, improve operational resilience, and maintain trust in human-AI collaboration. The talk also provides a practical roadmap for organizations seeking to evolve from fragmented digital operations to governed autonomous systems while balancing innovation, compliance, and business risk.  Key takeaways include practical approaches for progressive rollout of AI capabilities, governance patterns for agentic systems, and lessons for managing autonomy in complex, real-world operational environments.",https://www.linkedin.com/in/pavanboppidi/,,,,,Pavan Boppidi_featureflags.png,,"autonomy,ai,logistics",
No,agents,Sai Rakshit,Staff Software Engineer,Visa Inc,,,,Flagging the Black Box: Shipping AI Agents Safely with Feature Flags,"AI agents are non-deterministic, expensive, and occasionally confidently wrong—so how do you ship one to production without holding your breath? The answer turns out to be a tool we already trust: feature flags. This talk shows how I used flags to tame an agentic RAG system in production—gating the agent behind a kill switch, rolling it out to 1% of traffic, A/B testing a new retrieval strategy against the old one, and instantly reverting a bad prompt without a redeploy. We'll go concept by concept: flagging individual agent capabilities (retrieval, self-correction, tool use), using flags as runtime guardrails to cap cost and loop iterations, and running controlled experiments to prove a model change actually helped before rolling it everywhere. You'll see the flag architecture, the rollout strategy, and what broke when we got it wrong. If you're shipping anything powered by LLMs or agents, you'll leave knowing how to put a safety harness on it using infrastructure you probably already have. What Attendees Will Learn  Why non-deterministic AI systems need flags more than traditional features do How to gate agent capabilities behind flags—kill switches, gradual rollout, instant rollback Using flags as runtime guardrails to cap agent cost, retries, and loop iterations Running A/B experiments to validate a prompt or model change before full rollout A practical flag architecture for AI features you can adapt to your own stack",https://www.linkedin.com/in/sai-rakshit-ba88a4114/,,,,,Sai Rakshit_featureflags.png,,"flags,ai,agents",
No,agents,Yossi Eliaz,"Principal Engineer, AI Systems",Incredibuild,,,,The Agent Enablement Platform Is a Fleet of Disposable Computers,"Platform teams enabling coding agents across an org need repository-defined environments, leaseable isolated computers, warm pools, snapshot and fork, stable identity, scoped secrets, controlled networking, checkpoints, and real cleanup. This talk is built from what actually failed running that in practice, not theory. You leave with a concrete architecture for agent enablement that a platform team can operate, not just a demo.",https://www.linkedin.com/in/yossi-eliaz,,,,,Yossi Eliaz_featureflags.png,,"agent,platform,computers",
No,governance,Chandra Adapa,PepsiCo,PepsiCo,,,,Feature-Flagging Data Governance: A Progressive Rollout Framework for Master Data Management at Scale,"Master Data Management initiatives often fail not from bad architecture but from all-or-nothing rollouts: a new governance rule, quality check, or matching algorithm goes live enterprise-wide and breaks downstream systems before anyone can react. This session reframes MDM as a progressive delivery problem, applying feature flag patterns to the rollout of data governance itself.  We walk through a practical framework for flagging MDM changes — canary-testing new data quality rules against a single business unit before global rollout, using kill switches to instantly revert a bad matching or standardization rule without a full redeploy, and gating AI-driven enrichment or deduplication logic behind cohort-based flags tied to data domain, region, or system of record. This lets governance teams ship changes with the same safety net application teams expect from progressive delivery, turning MDM rollouts into controlled, observable experiments rather than high-stakes big-bang releases.  Attendees will leave with concrete patterns for: flag-gating data quality and standardization rules, phased rollout strategies for master data changes across business domains, monitoring signals that indicate when to roll forward vs. roll back, and how this approach reduces reconciliation effort and manual error while giving governance teams the same agility and blast-radius control that feature flags bring to software releases.",https://www.linkedin.com/in/chandra-adapa-03053725/,,,,,Chandra Adapa_featureflags.png,,"data,governance,rollout",
No,governance,Pratham Yadav,Data Engineer,College of Southern Nevada,,,,When a Feature Flag Changes a KPI: Managing Analytics Logic Safely,"Feature flags are commonly used to change application functionality, but what happens when the flagged behavior changes the data behind an important KPI? A seemingly small change in business logic can alter dashboards, reports, alerts, and executive metrics. This talk explores how data teams can treat analytics logic as a controlled deployment, using feature flags to introduce new calculations while comparing results against existing definitions. We will discuss metric versioning, reconciliation, data lineage, dashboard validation, and communicating changes to downstream consumers.",https://www.linkedin.com/in/ypratham4,,,,,Pratham Yadav_featureflags.png,,"flag,kpi,analytics",
No,governance,Sarath Gadde,Sr. IAM Engineer,Digiantrix LLC,,,,Feature-Flagged Zero Trust: Safely Evolving Identity Controls in Cloud Systems,"Modern cloud environments require security controls to evolve continuously, but changes to identity policies, authentication flows, and authorization rules can introduce significant operational risk if deployed all at once. This session explores how feature flags can support the gradual rollout of Zero Trust and Identity Governance capabilities across cloud-first enterprises. Rather than treating identity controls as static policy, the approach combines continuous validation, adaptive access decisions, and controlled feature exposure to make security changes safer and easier to operate. The session examines practical patterns for introducing stronger authentication requirements, contextual access policies, Identity Threat Detection and Response capabilities, and automated governance workflows behind feature flags. Attendees will see how staged rollouts, targeted user cohorts, kill switches, telemetry, and rollback strategies can reduce disruption while security teams validate the impact of new controls in production. The talk also covers lessons around observability, policy testing, exception handling, and coordination between security and platform teams. Participants will leave with a practical architecture for using feature flags as an operational layer for evolving identity-centric security, enabling organizations to strengthen Zero Trust controls while maintaining reliability, developer velocity, and a predictable user experience.",https://www.linkedin.com/in/sarath-gadde-b3602a168/,,,,,Sarath Gadde_featureflags.png,,"trust,identity,cloud",
No,governance,Sujoy Datta Choudhury,Utica University,Utica University,,,,Feature Flags as the Configuration Layer for Multi-Tenant Workflow Behavior in Advertising and Financial Platforms,"Platforms serving hundreds of tenants face a core tension: every tenant needs different workflow behavior, but shipping code changes per tenant doesn't scale. This session shows how feature flags — not branching, not tenant-specific deploys — become the primary lever for controlling which workflow steps run, which thresholds apply, which external systems get called, and which roles can override a decision, all without a redeploy.  We'll walk through a four-dimension model — workflow graphs, data contracts, policies and routing, and isolation and limits — and show where flags sit inside each: enabling or disabling steps in impression/click attribution and billing pipelines, gating budget-and-pacing control loops for ad campaigns, and toggling enrichment, validation, and settlement paths for trade capture and compliance review workflows in financial services.  The talk covers practical flag implementation across two runtime patterns: short-lived, event-driven flows on serverless workflow engines (using the CNCF Serverless Workflow spec) versus long-running, human-in-the-loop processes on Temporal and Cadence  and why flag evaluation strategy differs between the two. We'll dig into the operational hard parts specific to flags at this scale: safely evolving flag schemas without breaking tenants mid-rollout, testing strategies that simulate hundreds of tenant-specific flag configurations realistically, and observability that separates platform-wide flag health from per-tenant flag behavior to catch noisy-neighbor effects and fairness issues before they escalate.  Attendees will leave with a concrete pattern for using flags as a tenant-isolation and progressive-rollout mechanism in regulated, high-stakes domains  applicable anywhere a platform needs to change behavior per customer without touching the codebase.",https://www.linkedin.com/in/sujoydc,,,,,Sujoy Datta Choudhury_featureflags.png,,"flags,configuration,workflow",
