ExternalURL,Title,Description,Date,ShortURL,ThumbnailPath,Body
,Let's welcome the new year with DevOps!,We're so glad to see you,2023-01-23,2023-01-23-devops-first-event-of-the-year,./assets/splash/DEVOPS2023_Event_Splash.png,"#We’re so glad to see you!

So… We all made it to 2023! And you’re back with us! Those are very big news and we couldn’t be any happier. Let’s not waste time then and get this show on the road, shall we?

We’re starting with some pretty awesome talks. You’ll learn about autonomous multi-cloud serverless deployment, how to improve the productivity of your developers, as well as why using static shared secrets in GitHub Actions is not a good idea. 

Get excited for 35+ amazing talks coming in only 3 days! By the way, how are those new year’s resolutions going? Just kidding. You’re still coming to the event, right? 

… Right?

Anyway, let’s not forget about our gold sponsor, [Teleport](https://www.conf42.com/teleport). We really appreciate your support, thank you!"
,The first event of its kind - Web 3.0 2022!,"Join us for the last event of the year
",2022-12-15,2022-12-15-web3-the-last-event-of-the-year,./assets/splash/WEB32022_Event_Splash.png,"#Join us for the last event of the year

Our Web 3.0 event is the Alpha and Omega of the year 2022 - it’s Conf42’s first Web 3.0 seminar and also its last event in 2022. A perfect combination to finish off the year strong!

We know there are a lot of things to think about now. The festive season is really kicking in and those socks will not but themselves! Having that in mind, we’re making this one short and sweet. Think about it as your little (not-at-all guilty!) pleasure in this busy season.

Join our keynote specialist, [Filipe Castro](https://www.linkedin.com/in/phicsr/) and learn about the financial side of Web 3.0, what are some of the main risks out there and why it's important for companies to think about blockchain and cryptocurrency trends.

Needless to say there’s more for you to discover. But let us just take some time to wish you all the best for the upcoming celebrations. We hope you’ll manage to take a break and recharge with your loved ones. And we’ll see you again next year!
"
,The DevSecOps event is here!,Feel the festive vibe with the best combo!,2022-12-01,2022-12-01-the-festive-vibe-with-devsecops,./assets/splash/DEVSECOPS2022_Event_Splash.png,"#Feel the festive vibe with the best combo!

One could argue that there is no better combination than hot chocolate with some marshmallows on top. Mhm… While that’s very likely true, the mighty trio of development, security and operations sure comes close!

Follow us to the world of DecSecOps, where the very best of experts in the field already await. We’ll talk about achieving a higher level of cloud security, how to manage APIs and how to implement DevSecOps with not only processes, but also people.

There are 45+ talks already available for you to dive into. So grab that cup of delish hot chocolate and get busy learning intergalactic stuff, while waiting for the Christmas holidays to finally arrive! 

As always, a big shout out to our amazing diamond sponsor, [Cloudsmith](https://www.conf42.com/cloudsmith). Thank you!"
,Teleport <> Conf42 DevSecOps 2022,Identity-Native Infrastructure Access.,2022-11-25,2022-11-25-teleport-devsecops-sponsor-announcement,./assets/splash/BLOG_Teleport_DSO_2022.png,"####[Teleport](https://goteleport.com) allows engineers and security professionals to unify access for SSH servers, Kubernetes clusters, web applications, and databases across all environments.

Teleport is represented at the conference by [Akshata Sawant](https://www.linkedin.com/in/akshata-sawant-192a3a121) in the Keynote [Sustainable API Management](https://www.conf42.com/DevSecOps_2022_Akshata_Sawant_sustainable_api_management).

* [About Teleport](https://goteleport.com/about)
* [Get started with Teleport](https://goteleport.com/pricing)
* [Upcoming Events](https://goteleport.com/about/events)
* Teleport on [YouTube](https://www.youtube.com/channel/UC1O9RGv3FGJau091DD09ooQ)

Teleport has their own [Blog](https://goteleport.com/blog), a great read for all folks in the field!

#### [Teleport](https://goteleport.com) - Platinum Sponsor of [Conf42 DevSecOps 2022](https://www.conf42.com/devsecops2022)"""
,Mulesoft <> Conf42 DevSecOps 2022,Automate anything. Empower everyone. ,2022-11-23,2022-11-23-mulesoft-devsecops-sponsor-announcement,./assets/splash/BLOG_Mulesoft_DSO_2022.png,"#Automate anything. Empower everyone. 

Deliver end-to-end automation and orchestrate across your systems to deliver connected customer experiences, faster.

MuleSoft is represented at the conference by [Akshata Sawant](https://www.linkedin.com/in/akshata-sawant-192a3a121) in the Keynote [Sustainable API Management](https://www.conf42.com/DevSecOps_2022_Akshata_Sawant_sustainable_api_management).

* [Discover Anypoint Platform](https://videos.mulesoft.com/watch/bakFGgwqNDJzoJFNydiMiH)
* [Join the MuleSoft Community](https://www.mulesoft.com/community)
* [Try Anypoint Platform for free](https://anypoint.mulesoft.com/login)

#### RSVP for free - [Conf42 DevSecOps 2022](https://www.conf42.com/devsecops2022#register)!"
,Cloudsmith: 10 ways to make your software pipeline more observable,"Manage All Of Your Artifact Repositories, in the Cloud",2022-11-21,2022-11-21-cloudsmith-devsecops-sponsor-announcement,./assets/splash/BLOG_Cloudsmith_DSO_2022.png,"#### Security into your software supply chain means visibility into how an artifact is built, packaged and signed.

A considerable part of the reason supply chain attacks are such a threat is that we are missing information to decide if the software we develop and use is safe.

Audit logs, SBOMs, automation, and package management are all essential aspects to bring visibility into your software supply chain so you can answer questions like:

- What are my build steps?
- Who wrote the code, who built that code, and who approved the code?
- What 3rd party dependencies do I use in my software, how trustworthy are they, and am I up to date?
- How do I trace my build from source to deployment?
- What vulnerabilities are in my code?

More than inspecting, scanning, and monitoring historical data, this information can be ingested by observability tools that can help you gain insights, identify unusual behavior and possibly prevent a software supply chain attack.

I've listed 10 ways to make your software pipelines more transparent and generate the information needed to gain your observability insights:

**1 Automated Build Steps**

Automate your builds using a CI/CD tool like Jenkins, CircleCI, or BuildKite. Make sure all the other tools you use in your build process, including your package repositories, tests and code scanners, facilitate automation using APIs, CLIs, and webhooks.

Having your build steps codified with no manual steps means they can be logged with timing and authentication information. You can gather unusual login attempts, policy changes, or build patterns. Using in-toto attestations at each build step can make this information verifiable and thus more trustworthy.

**2 Audit Logs**

Audit logs capture all actions the system, users, and service accounts perform for compliance and troubleshooting purposes.

All your build tools should produce audit logs, including your CI/CD, packaging, deployment, and cloud infrastructure tools.

Audit logs can be forwarded to the Security Incident and Event Management (SIEM) for visibility, tracking, and managing of security incidents. SIEM tools also provide next-generation detection, analytics, and response.

**3 Package Management**

It's much more difficult for people and scanners to figure out what is installed on a system when software is installed using scripts instead of a package manager.

A software package, artifact, or image is the output of building software- it groups files containing your software along with the metadata about the software and dependencies in a well-defined format.

A package manager is a software tool that uses the power of automation to create, upload, install, upgrade, and configure software packages. Most software languages, containers, or operating systems have a corresponding package manager, e.g., NPM, NuGet, Maven, or RPM.

Dependencies installed with a package manager ensure consistency and transparency in how software is included in your product and give a straightforward way to access your package's metadata, including version information, license information, dependencies, environment state, etc.

Let's make it easy to figure out what is on our system by installing software with a package manager.

**4 Versioning Software and Version Control**

Consistently versioning your software product releases, e.g., [Semantic Versioning](https://semver.org/), lets you keep track of all the changes and progress you make. For consumers of your software, the version numbers should inform them of when it's imperative to update and if there are backward compatibility issues.

Mistakes in build can be a hassle, but if at all possible and avoid republishing your builds.

**5 Pin your builds**

For visibility into your supply chain, we need to know all the 3rd party dependencies in your software. Some package managers, such as pip and npm, do their best to resolve package information look-ups when explicit guidance isn't provided. This means that a different dependency can be included in your software depending on when you build it e.g. if a dependency has a new update.

If you pin your dependencies to an exact version in your manifest files, no matter when you build your code, the same top-level dependencies should be pulled in, making your build more transparent and consistent.

**6 Automated dependency updates**

You need to know when your dependencies have updates for visibility into your software build.

The previous step recommended pinning your builds, but if you have many dependencies, it can be very difficult to update each one manually.

Several update tools help you check for updates in your code base, including Renovate and Dependabot (GitHub).

**7 Scorecards**

[Scorecard](https://github.com/ossf/scorecard) is an automated tool that gives developers a score on how safe their dependencies are. Understanding the trustworthiness of your dependencies is vital to improving the security posture of your project.

**8 Sign your artifacts**

Signing a package/artifact/image lets people know that this package was signed by a person or organization and proves that the code was not tampered with after it was signed.

There are issues with signing, including a lack of understanding of the signing process, cost, complexity of managing keys, implementation of code signing pipelines, and the lack of verification of signatures.

Recent developments in signing to reduce the complexity of signing and remove the cost barrier to signing with the [Sigstore](https://www.sigstore.dev/) project have invigorated efforts to sign artifacts.

**9 Generate SBOMs**

A Software Bill of Materials (SBOM) lists all the components in your software. The notion of the SBOM was popularized by the Whitehouse when it was namechecked in an [Executive Order](https://www.whitehouse.gov/briefing-room/presidential-actions/2021/05/12/executive-order-on-improving-the-nations-cybersecurity/) last year on improving software security.

An accurate SBOM would improve the transparency of your supply chain, which could allow for:

- Earlier identification of potentially vulnerable systems
- Support informed decisions for 3rd party dependencies
- Incentivize secure software development practices.

[Tooling around generating an SBOM](https://cloudsmith.com/blog/how-to-generate-and-host-an-sbom/) is still evolving, but hopefully, it will be integrated into build tools, making this process accurate and automatable.

**10 Provenance of your built artifacts**

It is no longer just about the published artifact at the end of your software pipeline. Instead, it is about providing the tools to ensure artifact integrity across the supply chain.

Information demonstrating the supply chain provenance of a built artifact includes a combination of the steps above, including signing, build attestations, and SBOMs.

Provenance allows you to know and prove the origin of your software.

Monitor and Observe your Software Supply Chain

Some of this information isn't so easy to generate but will help us monitor and observe our software supply chain, which will ultimately help secure it. This information will help us:

- Monitor software supply chain more effectively
- Enable visibility for DevOps, security analysts, and developers into the entire build process
- Find and connect events in our build and trace them back to the source
- Detect and mitigate against vulnerabilities earlier
- Detect and alert for unusual login activity or build activities

Observability tools are promising to answer questions relating to the information that your system is generating, even questions that are not currently anticipated- what could this do for our software supply chain?

For more content like this, visit our blog [https://cloudsmith.com/blog/](https://cloudsmith.com/blog/)
_By Ciara Carey, Developer Relations, Cloudsmith_"
https://rollbar.com/blog/infographic-the-state-of-software-code/,Rollbar: The State of Software Code Infographic,"We surveyed nearly 1,000 developers across the U.S. to uncover key development trends and insights.",2022-11-14,,./assets/splash/BLOG_Rollbar_JS2022.png,
,The language of Aliens,The final countdown to the Java Script 2022 event!,2022-11-13,2022-11-13-java-script-2022-the-alien-language,./assets/splash/JS2022_Event_Splash.png,"#The language of Aliens

Would you like to learn some more about building Slack applications with Bolt.js, the carbon footprint of websites and whether we could mitigate it, as well as what segmented rendering is and how it influences your customers?

Well, you’ve come to the right place, my friend. Learn all that and more during our Java Script 2022 event! There are 30+ talks for you to work through at your own pace. 

Don’t forget to join our keynote speaker, [Finbar Fleming](https://www.linkedin.com/in/finbarfleming/), who will be talking about the process of debugging JavaScript errors in Production for better end user experience and happier developers. 

But before you go, can we just please take a moment to appreciate how cute this raccoon is? I mean, seriously, just look at it!

Also a huge “thank you” to our diamond sponsor, [Rollbar](https://rollbar.com/signup/?utm=conf42), for being so amazing and helping us bring the very best IT talks to you."
,Explore the magic world of Kubernetes!,Make the hippo happy and check out our talks!,2022-10-20,2022-10-20-make-the-kubernetes-hippo-happy,./assets/splash/KUBE2022_Event_Splash.png,"#Explore the magic world of Kubernetes!

It’s about time to talk some Kubernetes, am I right?

As always, we’re here with a range of fascinating topics for you to explore. From horizontal autoscaling, using Go for Kubernetes apps and cluster monitoring, all the way to some secret sauce of Docker containers and K8s.

This is us just getting started. Don’t make the hippo sad and have a look at our collection of brilliant talks. All of them are now available on our website. 

Lots of love to our amazing gold sponsor, [Okteto](https://www.okteto.com/). Thank you for your support!
"
,Did someone say “incident management”?,"Panels, keynotes and so much more!",2022-09-29,2022-09-29-incident-management,./assets/splash/INCIDENT2022_Event_Splash.png,"#Did someone say “incident management”?
Here’s a little puzzle for you. What do you call the process loved by many, hated by so many more, while inevitable to both? Welcome to the controversial world of incident management - we’ll be your guide.

Whichever group you belong to, incident management is something no one can escape from, so we might as well learn to have some fun with it! Our amazing guests will introduce you to incident management from a new perspective. You will appreciate the incidents’ role in the growth of your team, explore the importance of automation in scaling up, as well as have some empathy 101 workshop. This isn’t our first rodeo, you know there’s so much more waiting for you!

Come and check out 15+ amazing talks, already available on our website. But before you do, let us give a big shout out to our fabulous diamond sponsors, [FireHydrant](https://www.conf42.com/firehydrant) and [Jeli](https://www.conf42.com/jeli). Thank you for your support!
"
