Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Manik Kashikar,Principal Consultant,Thoughtworks,Prachita Kashikar,Advocate for Digital Transformation,,Platform Engineering and Digital Transformation: Bridging the Gap,"Digital transformation demands robust, scalable, and flexible platforms that can adapt to ever-changing business needs. This presentation will demystify platform engineering by highlighting its pivotal role in driving digital transformation initiatives.",https://www.linkedin.com/in/manik-kashikar-7086b715/,,https://www.linkedin.com/in/prachita-k-8b4184381/,,Manik Kashikar - Conf42 Platform Engineering 2025.pdf,Manik Kashikar & Prachita Kashikar_platform.png,https://youtu.be/QiqItGyy_iw,"gap,bridging,digital",
Yes,,Aishwarya Pai,Senior Consultant,Deloitte,,,,Platform Engineering for Data Science at Scale: How Agile Infrastructure Unlocks 68% Faster ML Pipeline Delivery,58% of ML platforms fail to deliver value. Discover how platform engineering unlocks 68% faster model delivery and 37% higher AI success rates through cloud-native architecture and automated pipelines.,https://www.linkedin.com/in/aishwarya-pai-csm%C2%AE-cspo%C2%AE-004aab210/,,,,Aishwarya Pai - Conf42 Platform Engineering 2025.pdf,Aishwarya Pai_platform.png,https://youtu.be/FxYK-WnFGOA,"unlocks,agile,science",
Yes,,Sreeja Reddy Challa,,Independent Researcher,,,,Platform Engineering with AI-Driven Self-Healing AWS Infrastructure,"Platform teams managing hundreds of AWS accounts are moving beyond reactive ops to AI-driven autonomous systems. Learn how to build self-healing infrastructure using AWS services, reduce operational toil, and evolve your platform engineering maturity.",,,,,Sreeja Reddy Challa - Conf42 Platform Engineering 2025.pdf,Sreeja Reddy Challa_platform.png,https://youtu.be/Dzk7inbmFdc,"aws,healing,self",
Yes,,Sreelatha Pasuparthi,Principal Software Engineer,Liberty Mutual Insurance,,,,Building Bulletproof Error Detection: A Middleware-First Approach to Reducing MTTR by 88.5%,From 162-minute detection delays to instant alerts. From angry customer calls to proactive fixes. One middleware strategy saved $2.3M and cut MTTR by 88.5%. Learn the exact architecture that transformed chaos into operational excellence across 230K users.,https://www.linkedin.com/in/sreelatha-pasuparthi03/,,,,Sreelatha Pasuparthi - Conf42 Platform Engineering 2025.pdf,Sreelatha Pasuparthi_platform.png,https://youtu.be/nMLdku1n7zc,"middleware,mttr,error",
Yes,,Rajani Jayantha,Senior Engineer,Wayfair,,,,Platform Engineering Decision Framework: Microservices vs. Monolith for Scalable Cloud Infrastructure,"Learn a proven framework for choosing between microservices and monolith architectures that platform engineers use to build scalable, reliable infrastructure. Real case studies + practical decision criteria = better platform decisions.",https://www.linkedin.com/in/rajanijayantha/,,,,Rajani Jayantha - Conf42 Platform Engineering 2025.pdf,Rajani Jayantha_platform.png,https://youtu.be/dx0kQ4c8dp8,"monolith,microservices,decision",
Yes,,Lalitha Potharalanka,Senior Appian Developer,FDA,,,,Building Clinical Research Platforms: From Manual Chaos to Automated Excellence,"We turned clinical trial chaos into a low-code platform that saves lives faster. Massive paperwork reduction, rapid ROI, perfect compliance—in the most regulated industry on earth. Learn how we built platforms that doctors love and regulators approve. Real stories, real impact.",https://www.linkedin.com/in/lalitha-potharalanka/,,,,Lalitha Potharalanka - Conf42 Platform Engineering 2025.pdf,Lalitha Potharalanka_platform.png,https://youtu.be/zSj5xkYtRSU,"research,clinical,manual",
Yes,,Aroma Rodrigues,Software Engineer,Microsoft,,,,"Engineering Athena: Building a Scalable, Resilient, and Compliant Financial Platform at J.P. Morgan","Discover how J.P. Morgan’s Athena platform handles massive trade volumes with ultra-low latency, fault tolerance, and strict regulatory compliance. Learn architectural patterns, distributed processing techniques, and real-world lessons for building scalable, reliable, and secure platforms.",https://www.linkedin.com/in/aromarodrigues/,,,,Aroma Rodrigues - Conf42 Platform Engineering 2025.pdf,Aroma Rodrigues_platform.png,https://youtu.be/VKnR7nj3968,"morgan,athena,compliant",
No,agents,Naganarendar Chitturi,Senior Solutions Architect,Newrez,,,,Building Agentic AI Platforms: Lessons from Autonomous Mortgage Processing at Scale,Ready to build AI platforms that think and act autonomously? Discover battle-tested architectural patterns from mortgage AI systems that process complex workflows with minimal human intervention.,https://www.linkedin.com/in/naganarendar-chitturi/,,,,Naganarendar Chitturi - Conf42 Platform Engineering 2025.pdf,Naganarendar Chitturi_platform.png,https://youtu.be/UPhNv3VlkGI,"mortgage,autonomous,lessons",
No,agents,Konstantin Berezin,Back End Developer,Rapyd,,,,Anomaly Detection for Platform Logs using Embedded Context Agents,"This talk will explore how AI agents can be used to analyze logs and trace data, automatically tagging anomalies and alerting engineers only when critical outliers occur—making incident management much more efficient.",https://www.linkedin.com/in/konstantin-berezin-330580280/,,,,Konstantin Berezin - Conf42 Platform Engineering 2025.pdf,Konstantin Berezin_platform.png,https://youtu.be/MdqBaSDsA7Q,"context,agents",
No,agents,Vasdev Gullapalli,Senior Staff DevOps Engineer/Manager,Qualcomm Inc,,,,"Platform Engineering Meets SCM: Unified Policies, Access, and Automation Across Git Systems","Managing GitHub, GitLab, and Gerrit for 50K+ engineers isn’t just infrastructure—it’s platform engineering. Learn how we unified access, security, and automation across SCMs to deliver scalable, developer-first experiences in a multi-Git world.",https://www.linkedin.com/in/vasdev-gullapalli-b3450374/,,,,Vasdev Gullapalli - Conf42 Platform Engineering 2025.pdf,Vasdev Gullapalli_platform.png,https://youtu.be/JjRDwRTinKo,"scm,git,policies",
