Panel,Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,,,,,,,,AI Is Coming For Our Secrets - DevSecOps 2024 Panel Discussion,"Every company relies on software credentials, or secrets, to access critical systems. However, with generative AI making these secrets easier to steal, the risks are skyrocketing. Hackers are more motivated than ever to exploit these vulnerabilities. It's time to rethink how you protect your secrets.

Join the discussion with the Doppler team: [Chandler Mayo](https://www.linkedin.com/in/chandlermayo/) (Senior Developer Advocate), [Amber Britton](https://www.linkedin.com/in/arbritton123/) (Head of Go To Market), [Adam Meehan](https://www.linkedin.com/in/adammeehan1/) (Sales Team) and [Nic Manoogian](https://www.linkedin.com/in/nmanoogian/) (Head of Engineering).",https://youtu.be/LQriMbqEWsM,,,,,DevSecOps_2024_Panel_Discussion.png,https://youtu.be/LQriMbqEWsM,"panel,discussion",
,Yes,,Lukasz Karwacki,Security Solution Architect (Edge Network),Gcore,,,,Comprehensive protection for Infrastructure and Web Applications: Key Differences and Strategies,"In today’s complex threat landscape, safeguarding web applications and infrastructure requires an integrated security approach. Web Application and API Protection (WAAP) solutions are critical for defending against sophisticated application layers. However, without robust DDoS protection, organizations remain vulnerable to high-volume attacks that can cripple their infrastructure and render applications inaccessible.This presentation explores why combining WAAP with DDoS protection is essential for comprehensive security. Attendees will learn how this dual approach ensures both application-layer and network-layer resilience and minimizes risks. Case studies and actionable strategies will highlight how businesses can achieve a unified, scalable defense against modern cyber threats in 2025.",https://www.linkedin.com/in/%C5%82ukasz-karwacki-6153a81b2/,,,,Lukasz Karwacki - Conf42 DevSecOps 2024.pdf,Lukasz Karwacki_devsecops.png,https://youtu.be/L8IBGQvNDo8,"protection,Infra,web,apps",
,Yes,,Dewan Ahmed,Principal Developer Advocate,Harness,,,,Securing Git Repositories: Preventing Accidental Secret Commits with Gitleaks,"Accidentally committing secrets to a Git repository can compromise sensitive data and lead to serious security risks. This talk will focus on addressing this common issue by using Gitleaks, an open-source tool for detecting secrets in code, and demonstrate how developers can seamlessly integrate it into their workflows.
Instead of scrambling to fix the problem after secrets have already been exposed, this session will show you how to catch potential leaks before they happen. Through a live demo, we will explore how Harness Open Source provides a streamlined local DevOps platform to enhance developer productivity while maintaining strong security measures.
Attendees will learn how to safeguard their repositories, avoid accidental exposures, and use open-source tools to improve overall development practices.",https://www.linkedin.com/in/diahmed/,,,,Dewan Ahmed - Conf42 DevSecOps 2024.pdf,Dewan Ahmed_devsecops.png,https://youtu.be/hrxhgxSOtuY,"securing,gitleaks,repos,secret",
,Yes,,Birol Yildiz,Co-Founder & CEO,Ilert,,,,AIOps: New Approaches to Reduce Alert Noise,We will dive into techniques to group alerts based on content similarity with the help of AI and cover approaches to adjusting alert thresholds to find a balance between capturing all potential duplicates and minimizing false positives.,https://www.linkedin.com/in/birolyildiz/,birol_yildiz,,,Birol Yildiz - Conf42 DevSecOps 2024.pdf,Birol Yildiz_devsecops.png,https://youtu.be/YKuhDxdHuME,"aiops,alert,noise",
,No,ai,Shradha Kohli,Senior Software Engineering Manager,Salesforce,,,,Building Trust in Conversational AI: The Role of Explainable AI in Enhancing Chatbot Transparency,"Unlock the future of trustworthy AI! Discover how Explainable AI (XAI) transforms chatbots into transparent, reliable systems. From boosting user trust by 35% to revolutionizing decision comprehension, we’ll unveil cutting-edge techniques.",https://www.linkedin.com/in/s-kohli/,,,,Shradha Kohli - Conf42 DevSecOps 2024.pdf,Shradha Kohli_devsecops.png,https://youtu.be/OFOCfcfD1tk,"conversational,ai,trust",
,No,ai,Abhishek Vajpayee,Senior Analytics Engineer/Product Owner,Metropolis Technologies,Rathish Mohan,Senior Applied ML Scientist,Lore | Contagious Health,Enhancing Healthcare Chatbot Transparency with Explainable AI (XAI): Addressing Security and Ethical Challenges,"Discover how Explainable AI (XAI) is transforming healthcare chatbots by making them transparent, secure, and ethically sound. Learn how to tackle data privacy and security challenges in DevSecOps while delivering context-aware, empathetic care.",https://www.linkedin.com/in/avajpayee1/,,https://www.linkedin.com/in/rathish-mohan/,,Abhishek Vajpayee & Rathish Mohan - Conf42 DevSecOps 2024.pdf,Abhishek Vajpayee & Rathish Mohan_devsecops.png,https://youtu.be/sJePgiU7ecI,"healthcare,chatbot,transparency",
,No,ai,Vijay Kumar Valaboju,Senior Software Engineer,Microsoft,,,,"Leveraging Reinforcement Learning for Adaptive, AI-Driven Security Assessments in DevSecOps","Discover how Reinforcement Learning is transforming security assessments in DevSecOps! Learn how AI-driven, adaptive assessments boost engagement, enhance skills retention, and strengthen your team’s defense against emerging threats.",https://www.linkedin.com/in/vijay-kumar-valaboju-17320a15/,,,,Vijay Kumar Valaboju - Conf42 DevSecOps 2024.pdf,Vijay Kumar Valaboju_devsecops.png,https://youtu.be/MPu-kywAhqs,"reinforcement,learning,assessments",
,No,ai,Sudeep Meduri,Senior Software Engineer,Google,,,,"Leveraging AI in Fintech: Revolutionizing Security, Compliance, and Automation in DevSecOps","Discover how AI is transforming fintech security and compliance in DevSecOps! From automating fraud detection to streamlining regulatory processes, learn to harness AI for cutting-edge financial innovation while tackling ethical challenges. Unlock the future of secure, efficient, AI-driven finance!",https://www.linkedin.com/in/sudeepmeduri/,,,,Sudeep Meduri - Conf42 DevSecOps 2024.pdf,Sudeep Meduri_devsecops.png,https://youtu.be/piK7iWjRjHU,"ai,fintech,security",
,No,ai,Madhusudan S Vadigicherla,"Director, Supply Chain Systems",Integra Lifesciences,,,,Leveraging AI for Resilient Supply Chains: Navigating Complexity and Disruptions with DevSecOps,"Discover how AI and DevSecOps are revolutionizing supply chains to tackle disruptions head-on! Learn how combining predictive analytics, automation, and secure development practices can boost resilience, slash response times, and optimize resources. Get ready to future-proof your supply chain!",https://www.linkedin.com/in/mssv-supplychain-technologydirector/,,,,Madhusudan S Vadigicherla - Conf42 DevSecOps 2024.pdf,Madhusudan S Vadigicherla_devsecops.png,https://youtu.be/2UP_KHnKfbs,"ai,supply,chains",
,No,automation,Nic Manoogian,Head of Engineering,Doppler,,,,The Power of SecretOps: Automating Secrets Workflows,"Modern trends in app development focus on code and compute, often overlooking the importance of secrets and configuration management. Let’s explore “SecretOps,” a layered framework for automating secrets workflows.",https://www.linkedin.com/in/nmanoogian/,,,,Nic Manoogian - Conf42 DevSecOps 2024.pdf,Nic Manoogian_devsecops.png,https://youtu.be/rWoNKcoEQdo,"secretops,automation,workflows",
,No,automation,Karthiksai Chenna,,Rich Products,,,,"Revolutionizing SAP Production Planning with Hyperautomation: Secure, Efficient, and Insight-Driven Operations","Discover how hyperautomation is transforming SAP Production Planning with RPA, AI, ML, and Process Mining to boost efficiency, cut costs, and ensure secure, real-time operations. Learn from real-world success stories and unlock the secrets to driving 25-40% productivity gains.",,,,,Karthiksai Chenna - Conf42 DevSecOps 2024.pdf,Karthiksai Chenna_devsecops.png,https://youtu.be/W8auOXSDuAs,"hyperautomation,sap,operations",
,No,cloud,Abdul Karim Memon,Co-Founder,ReLambda,,,,Kubernetes Networking 101,A beginner-friendly talk that explains how networking in Kubernetes works under the hood. It provides examples of the process of IP address management and helps you understand the journey of a packet as it travels from one pod to another within a Kubernetes (K8s) cluster.,https://www.linkedin.com/in/abdulkarimmemon/,abdulkarim_me,,,Abdul Karim Memon - Conf42 DevSecOps 2024.pdf,Abdul Karim Memon_devsecops.png,https://youtu.be/fNVAyIw5ohw,"kubernetes,networking",
,No,cloud,Carlos Solis Salazar,Senior Azure Solutions Architect,OZ,,,,Pushing the boundaries of management and security with Azure Arc,Discover Azure Arc—an innovative solution for extending management and security beyond Azure’s boundaries. Learn through practical examples how Azure Arc transforms the management of hybrid and multi-cloud environments.,https://www.linkedin.com/in/soysoliscarlos/,soysoliscarlos,,,Carlos Solis Salazar - Conf42 DevSecOps 2024.pdf,Carlos Solis Salazar_devsecops.png,https://youtu.be/Ka4E6WrjTTw,"azure,management,security",
,No,cloud,Daniil Koshelev,Senior Software Engineer,Tinkoff,,,,From Monolith to Microservices: A Guide to Seamless Transitions,"Discover the secrets to successfully migrating from monolithic systems to microservices, ensuring security, scalability, and seamless integration.",https://www.linkedin.com/in/daniil-koshelev/,,,,Daniil Koshelev - Conf42 DevSecOps 2024.pdf,Daniil Koshelev_devsecops.png,https://youtu.be/qisIalSZQSk,"monolith,microservices,transitions",
,No,cloud,Madhu Kumar Yeluri,Director,Fortune Technologies,,,,Code your Cloud: Infrastructure as a Code Best Practices with Terraform,"In ""Code your Cloud: Infrastructure as Code Best Practices with Terraform,"" we will explore the transformative power of managing cloud infrastructure through code. We'll delve into the key principles of Infrastructure as Code (IaC), focusing on how Terraform enables scalability and reliability.",https://www.linkedin.com/in/cloudgeek7,,,,Madhu Kumar Yeluri - Conf42 DevSecOps 2024.pdf,Madhu Kumar Yeluri_devsecops.png,https://youtu.be/1KHQuaiR0iI,"infrastructure,code,terraform",
,No,cloud,Praveen Valaboju,DevOps Engineer,Landauer INC,,,,A DevSecOps Approach to Advanced Cloud Integration,"This talk dives into how cloud tech is reshaping healthcare, making systems smarter, faster, and more efficient. From tackling data overload and downtime to meeting tough compliance standards, we’ll explore tools like CI/CD automation, Kubernetes, Documentum, and AI-driven neural networks.

You’ll see how these technologies work together to cut costs, scale effortlessly, and improve patient care. Whether it’s quicker diagnoses or seamless updates, this session is all about building a modern, patient-focused healthcare system that’s ready for anything.",https://www.linkedin.com/in/praveenkumarvalaboju/,,,,Praveen Valaboju - Conf42 DevSecOps 2024.pdf,Praveen Valaboju_devsecops.png,https://youtu.be/eD0evfYkIpU,"advanced,cloud,integration",
,No,compliance,Safeer C M,SRE and DevOps Consultant,,,,,A Primer on Software Bill of Materials for DevSecOps,"Software Bill of Materials are critical artifacts in securing the software supply chain. With the threat to the supply chain ever more present, DevOps and DevSecOps should master SBOM and its role in security. This talk will cover the foundations of SBOM and how it will fit into the DevSecOps ecosystem.",https://www.linkedin.com/in/safeer/,safeercm,,,,Safeer C M_devsecops.png,https://youtu.be/ZtXoNbsQFrA,"software,bill,materials",
,No,compliance,Kiran Nagubandi,Solutions Architect,SPL Consulting,,,,"Navigating Security in the Subscription Economy: Strategies, Metrics, and Compliance for Sustainable Growth","Discover how to thrive in the booming subscription economy while staying secure and compliant! Learn key strategies, models, and metrics, and explore DevSecOps practices to protect customer data and drive growth. Gain actionable insights on secure billing.",https://www.linkedin.com/in/kiran-n-05b1a714/,,,,Kiran Nagubandi - Conf42 DevSecOps 2024.pdf,Kiran Nagubandi_devsecops.png,https://youtu.be/nwazzCdTWdQ,"subscription,economy,security",
,No,culture,Ilan Finkelstein,Principal Security Architect,Owndata,Pieter VanIperen,CISO,Own Company,"The CISO is Dead, Now What ?","Being prepared for the unexpected is the responsibility of every security and operations team, yet it is seldom practiced or simulated in a world of competing priorities. The goals are simple: how do we restore operational functionality? Getting there can be complex. How can we create simulations?",https://www.linkedin.com/in/ilan-finkelstein/,,https://www.linkedin.com/in/pietervaniperen/,,Ilan Finkelstein & Pieter VanIperen - Conf42 DevSecOps 2024.pdf,Ilan Finkelstein & Pieter VanIperen_devsecops.png,https://youtu.be/h-XbEtPWnfE,"ciso,dead,what",
,No,culture,Victor Onyenagubom,Lecturer in Cybersecurity,Teesside University,,,,People-Powered Security: The Role of Soft Skills in a DevSecOps Culture,"Unlock the true potential of DevSecOps by mastering the power of soft skills! In ‘People-Powered Security,’ discover how empathy, communication, and collaboration are the unsung heroes of a security-driven culture. Learn why the human element is your greatest asset in building resilient, agile teams.",https://www.linkedin.com/in/victor-onyenagubom/,,,,Victor Onyenagubom - Conf42 DevSecOps 2024.pdf,Victor Onyenagubom_devsecops.png,https://youtu.be/7M1rxWz6ljw,"security,soft,skills",
,No,culture,SantoshKumar Pulijala,Senior .Net Developer,HCL Global Systems Inc,,,,The Intersection of Pedagogy and Technology: A Comprehensive Guide to Careers in Educational AI and Digitalization from a DevSecOps Perspective,"Unlock the future of education! Join us as we navigate the ethical landscape of AI-driven educational technologies. Discover how to balance innovation with privacy, equity, and accountability. Learn actionable strategies to create a transparent, secure environment.",https://www.linkedin.com/in/santoshkumar-pulijala-27201b75/,,,,SantoshKumar Pulijala - Conf42 DevSecOps 2024.pdf,SantoshKumar Pulijala_devsecops.png,https://youtu.be/WUQFfDR5jkk,"pedagogy,technology,ai",
,No,deep dive,Harpreet Singh,"Director, Sales Analytics & Operations",Gilead Sciences,,,,Leveraging Data Analytics for Enhanced Security and Compliance in Pharmaceutical Launches,"Unlock the power of data analytics to revolutionize pharmaceutical launches! Discover how integrating sales data with DevSecOps principles enhances security, ensures compliance, and boosts success rates. Learn actionable strategies from real-world case studies that transform market penetration.",https://www.linkedin.com/in/harpreetsingh-hs/,,,,Harpreet Singh - Conf42 DevSecOps 2024.pdf,Harpreet Singh_devsecops.png,https://youtu.be/CZErmM231TI,"analytics,security,compliance",
,No,deep dive,Prashanth Reddy Kora,Cloud Database Engineer,Centene Corporation,,,,Transforming Data Security and Efficiency: The Strategic Shift to Cloud Database Systems,"Unlock the full potential of your data! Discover how cloud database systems are revolutionizing scalability, security, and cost-efficiency, delivering up to 300% performance gains and 40% cost savings. Join us to explore real-world wins and tackle challenges like migration and vendor lock-in.",https://www.linkedin.com/in/prashanth-reddy-k-161535157/,,,,Prashanth Reddy Kora - Conf42 DevSecOps 2024.pdf,Prashanth Reddy Kora_devsecops.png,https://youtu.be/gnfReOI5jTU,"data,security,cloud",
,No,deep dive,Mahesh Vankayala,Principal Software Engineer,Oracle,,,,Identity Federation: Enhancing Digital Security and Efficiency Through Single Sign-On in DevSecOps,"Tired of password chaos and security gaps? Discover how Identity Federation revolutionizes digital security with seamless Single Sign-On, slashing password issues and fortifying defenses. Learn to harness protocols like OAuth 2.0 and overcome DevSecOps challenges.",https://www.linkedin.com/in/mahesh-vankayala-8887b8a3/,,,,Mahesh Vankayala - Conf42 DevSecOps 2024.pdf,Mahesh Vankayala_devsecops.png,https://youtu.be/hk3MWTMEb6E,"identity,federation,security",
,No,devops,Hoang Dinh Nguyen,Cloud Engineer,Viettel Group,,,,Internal Developer Platform and Kusion: Optimize the software development process,"In the fast-paced world of IT, integrating new technologies with cloud computing has improved software development but also increased complexity. What is the fastest way to build an Internal Development Platform and integrate it with all cloud resources to optimize the software development process?",https://www.linkedin.com/in/hoangndst/,hoangndst,,,Hoang Dinh Nguyen - Conf42 DevSecOps 2024.pdf,Hoang Dinh Nguyen_devsecops.png,https://youtu.be/iaOjAkLgXgM,"developer,platform,kusion",
,No,devops,Julio Arruda,Microsoft MVP / GitHub Star,,,,,Improving DevOps workflows with GenAI,"GenAI is changing software development and DevOps life. In this call, I will show you how to use GenAI tools to empower your SDLC.",https://www.linkedin.com/in/julioarrudac/,julioarrudac,,,Julio Arruda - Conf42 DevSecOps 2024.pdf,Julio Arruda_devsecops.png,https://youtu.be/l5gaCV80lIM,"devops,workflows,genai",
,No,devops,Clifton Reddy,Web Consultant - Manager,American National,,,,Green Code: Transforming DevOps for a Sustainable Future,"Join me for an electrifying exploration of how sustainable software practices can revolutionize DevOps! In this engaging session, we’ll delve into strategies aimed at enhancing code efficiency, minimizing resource consumption, and aligning your organization with vital corporate social responsibility goals.",https://www.linkedin.com/in/cliftonreddy/,,,,Clifton Reddy - Conf42 DevSecOps 2024.pdf,Clifton Reddy_devsecops.png,https://youtu.be/dELeVv-ibKM,"green,code,sustainable",
