Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
No,rustlang,Tashi Garg,Senior Staff Software Engineer,Juniper Networks,,,,Beyond Static Dashboards: How Rust-Powered Dynamic UIs Transform Cloud Infrastructure Management,"Static dashboards are killing your uptime! Discover how Rust-powered dynamic UIs slash incident response by 63% and prevent 73% of critical failures. Real data, real results, real-time monitoring that transforms cloud chaos into operational excellence.",https://www.linkedin.com/in/tashigarg/,,,,Tashi Garg - Conf42 Rustlang 2025.pdf,Tashi Garg_rustlang.png,https://youtu.be/zpii75N7yns,"cloud,ai,rust",
No,rustlang,Swetha Priya Sathiyam,Director - Solution Design ADP Lyric HCM,ADP,,,,Building the Future of HR Tech with Rust: Revolutionizing Employee Experience,"Discover how Rust is revolutionizing HR tech! Learn to build blazing-fast, memory-safe HRIS systems that boost employee engagement 30% & cut errors 54%. Real case studies + code examples. From recruitment to retention - see why Fortune 500s choose Rust for mission-critical HR!",https://www.linkedin.com/in/swethapriyasathiyam/,,,,Swetha Priya Sathiyam - Conf42 Rustlang 2025.pdf,Swetha Priya Sathiyam_rustlang.png,https://youtu.be/ddAX1IM-K7Q,"systems,memory,code",
No,rustlang,Anushree Nagvekar,Anushree Nagvekar,AEye Inc,,,,Building the Edge AI Revolution with Rust: Zero-Cost Abstractions Meet Real-World Performance,"Rust + Edge AI = Game Changer! See how zero-cost abstractions deliver 92% faster inference, 99.997% uptime, and memory safety that C++ can't match. Real autonomous vehicle code, live benchmarks, and the crates powering tomorrow's intelligent devices. The future runs on Rust!",https://www.linkedin.com/in/anushreenagvekar/,,,,Anushree Nagvekar - Conf42 Rustlang 2025.pdf,Anushree Nagvekar_rustlang.png,https://youtu.be/2DiY2pVybmo,"edge,memory,safety",
No,platform engineering,Aroma Rodrigues,Software Engineer,Microsoft,,,,"Engineering Athena: Building a Scalable, Resilient, and Compliant Financial Platform at J.P. Morgan","Discover how J.P. Morgan’s Athena platform handles massive trade volumes with ultra-low latency, fault tolerance, and strict regulatory compliance. Learn architectural patterns, distributed processing techniques, and real-world lessons for building scalable, reliable, and secure platforms.",https://www.linkedin.com/in/aromarodrigues/,,,,Aroma Rodrigues - Conf42 Platform Engineering 2025.pdf,Aroma Rodrigues_platform.png,https://youtu.be/VKnR7nj3968,"morgan,athena,compliant",
No,platform engineering,Michel Murabito,Developer Advocate,Mia-Platform,,,,AI for Platform Engineering: Practical Strategies to Elevate Developer Experience,"We'll explore tangible strategies and direct applications to reduce developer cognitive load, shift from reactive to predictive operations, and boost overall efficiency. Discover how AI into platform tooling, with actionable examples you can apply immediately to deliver an exceptional DevX.",https://www.linkedin.com/in/mich-murabito/,,,,,Michel Murabito_platform.png,https://youtu.be/No_GtgnBdRo,"practical,elevate,strategies",
No,platform engineering,Peng Wang,Global Technical Evangelist,OceanBase,,,,"One Platform, Many Workloads: Powering AI Applications with OceanBase on Kubernetes","From RAG to intelligent Q&A, semantic search, and log analytics — see how OceanBase brings native vector search and AI capabilities to Kubernetes platforms, combining multi-tenancy, strong consistency, and full SQL access in a single, production-ready database.",https://www.linkedin.com/in/peng-wang-474a3612b/,,,,Peng Wang - Conf42 Platform Engineering 2025.pdf,Peng Wang_platform.png,https://youtu.be/k3tw9GeTgiM,"workloads,oceanbase,powering",
No,mlops,Anoosha Cherukuri,,State of Tennessee,,,,Low-Code Meets Public Code: Automating with Minimal Engineering,"Explore how low-code platforms can augment public sector systems—saving time, reducing costs, and delivering faster.",,,,,Anoosha Cherukuri - Conf42 MLOps 2025.pdf,Anoosha Cherukuri_mlops.png,https://youtu.be/1olXcU-PWIQ,"low,code,meets",
No,mlops,Brian Irish,Engineering Lead,Ditto,,,,Embracing Sky Computing: Charting a New Course in AI Cloud Infrastructure,"Unlock the future of AI product development with Sky Computing. Learn how seamless, intelligent cloud orchestration can revolutionize scalability, cost management, and compliance, paving the way for smarter, more resilient AI in production.",https://www.linkedin.com/in/brianirish/,,,,Brian Irish - Conf42 MLOps 2025.pdf,Brian Irish_mlops.png,https://youtu.be/ed-ImXeupi0,"embracing,sky,computing",
No,mlops,Samuel Baruffi,Principal Global Solutions Architect,AWS,,,,From PoC to Production: Shipping Enterprise AI Agents with Amazon Bedrock AgentCore,"Many AI agent projects stall at proof-of-concept because production demands security, scalability, and integration. Amazon Bedrock AgentCore changes this by providing managed services for identity, gateway-based tool access, runtime isolation, memory, and observability. In this talk, you’ll learn how to operationalize agents beyond chatbots: securely connecting to enterprise systems, handling long-running tasks, and migrating PoCs into production-ready deployments. We’ll explore patterns for authentication, memory, and monitoring—plus a blueprint you can apply to ship your next enterprise AI agent with confidence.",https://www.linkedin.com/in/samuelbaruffi/,SamuelBaruffi,,,Samuel Baruffi - Conf42 MLOps 2025.pdf,Samuel Baruffi_mlops.png,https://youtu.be/ZAqZDBADoKY,"poc,bedrock,agentcore",
No,incident management,Priyanshi Deshwal,Senior Software Engineer,Mode,,,,Reimagining Incident Response with AI-Powered Visual Interfaces: From Static Dashboards to Real-Time Intelligence,"Discover how AI is revolutionizing incident response dashboards, cutting MTTR by 35%, automating visual insights, and enabling real-time decision-making. Learn from a $650B case study where smart visualization led to $42M in annual impact.",https://www.linkedin.com/in/priyanshi-deshwal-b87a3a10/,,,,Priyanshi Deshwal - Conf42 Incident Management 2025.pdf,Priyanshi Deshwal_incident.png,https://youtu.be/Ai6fODH9UFw,"visual,interfaces,intelligence",
No,incident management,Chandra Prakash Kathroju,Software Engineer,Citizens Property Insurance Corporation,,,,"AI, Edge & Serverless: Reshaping Insurance Incident Response in the Cloud Era","Discover how AI, edge, and serverless technologies are revolutionizing incident response in insurance slashing downtime, boosting agility, and transforming claims handling. Learn strategies to modernize, automate, and secure cloud-first operations at scale.",https://www.linkedin.com/in/chandra-kathroju-gwcc14132426/,,,,,Chandra Prakash Kathroju_incident.png,https://youtu.be/GnMB8RUR640,"edge,serverless,insurance",
No,incident management,Nisheedh Raveendran,Senior Staff Engineer,LinkedIn,,,,"When Compliance Meets Crisis: Managing Regulatory Incidents in HIPAA, GDPR, and DMA Environments","System down. Regulators calling. Patients waiting. When compliance meets crisis, normal incident response fails spectacularly. Learn the battle-tested playbooks that prevented regulatory disasters at healthcare, fintech, and big tech companies.",https://www.linkedin.com/in/nisheedhraveendran/,,,,Nisheedh Raveendran - Conf42 Incident Management 2025.pdf,Nisheedh Raveendran_incident.png,https://youtu.be/2qtmwfZKdVI,"compliance,hipaa,gdpr",
