Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Shubham Jindal,Director of AI,Harness,,,,"AI Demos Are Easy. Enterprise AI Is Not
","An AI prototype that looks remarkable in a controlled demo can struggle for months to make it into production. The real challenge begins when that prototype has to operate within the constraints of enterprise systems, data, security, and governance.

This session explores four core pillars of production-grade AI systems: context engineering, evaluations, memory, and security and governance. We'll examine the common pitfalls teams encounter, why they matter, and the practices that make AI systems reliable in production.

Designed for engineering teams building beyond prototypes, this talk provides a practical framework for creating AI systems that are reliable, measurable, secure, and ready for real-world use at scale.

**[Create a free Harness AI Account](https://app.harness.io/auth/#/signup?utm_campaign=conf42&utm_source=youtube)**
",https://www.linkedin.com/in/shubham-jindal-67b69048/?skipRedirect=true,,,,,Shubham Jindal_agents.png,https://youtu.be/sYmfZfIvFbM,"ai,demo,enterprise",
No,architecture,Maureese Williams,AI Engineer,Disney,,,,Your Agent Doesn't Need an LLM to Plan,"Every step your agent takes costs a model call. Plan a twenty-step task, pay twenty times, and get a different plan each run.  That isn't a law of nature. It's an architectural choice, and it's the wrong one.  **GATS** (Graph-Augmented Tree Search) inverts it. Instead of asking a language model what to do next, it runs UCB1 tree search over a persistent state-transition graph the agent builds as it works. The LLM never picks an action. It lives inside *skills*, synthesizing a diff or reading a file, and even there, only when a cheaper layer can't answer.  That escalation ladder is the core idea:  - **L1, symbolic**: preconditions and effects you already know. Free, exact, and it covers most of what an agent does all day. - **L2, learned**: per-state transition statistics mined from the agent's own execution history. Takes over once an action turns out to be stochastic. - **L3, generative**: the LLM proposes effects for genuinely novel actions. The result is cached, so a novel situation costs at most one call, ever.  Episode one pays. Episode two is free. On a 100-task suite: **100% success, 100% optimal plans, zero model calls at plan time, zero variance across runs.**  Then the result I didn't expect. Swap the simulated backend for a real local Llama 3.2 and run the same benchmark: the tree-search baseline collapses from 87% to under 1%, ReAct falls to 36%, and GATS doesn't move, because GATS wasn't calling the model at plan time to begin with. Planning quality stopped being a function of model quality.",https://www.linkedin.com/in/maureese-williams,,,,Maureese Williams - Conf42 AI Agents 2026.pdf,Maureese Williams_agents.png,https://youtu.be/10MCcG6fLYo,"planning,search,graph",
No,architecture,Michael Haim,Founder and CEO of Zindell Technologies,Zindell Technologies,,,,Orchestrating AI Agents with Pattern Matching,"Pattern matching is emerging as a powerful mechanism for bringing structure and determinism into systems built on top of probabilistic AI outputs. In this session, we explore how modern pattern-matching constructs can be used to orchestrate AI agents in a predictable, maintainable, and auditable way.  The talk demonstrates how outputs generated by AI agents, often unstructured and ambiguous, can be transformed into well-defined, typed representations and then routed through pattern-matching logic to drive decision-making. Using practical examples, we show how to implement routing, delegation, retries, fallbacks, and termination flows using pattern-matching constructs available in modern programming languages.  Beyond implementation details, the session introduces a broader architectural perspective: treating AI agents as components in a deterministic system, where pattern matching serves as the control layer that governs behavior. This approach reduces uncertainty, improves traceability, and enables engineers to build systems that are both flexible and reliable.",https://linkedin.com/in/lifemichael,,,,Michael Haim - Conf42 AI Agents 2026.pdf,Michael Haim_agents.png,https://youtu.be/Ef2ee-uObLo,"orchestration,patterns,determinism",
No,architecture,Peter De Tender,Senior Content Developer,Microsoft,,,,What if you could deploy Azure end-to-end scenarios while sleeping?,"In my previous role as Technical Trainer at Microsoft, I had to build and deploy a new Azure scenario daily to make my workshops more engaging and reflective of real-customer scenarios. This turned into an Open Source project in 2025, with +75 scenarios to reuse. Building those scenarios was time-intensive, error-prone and just no fun. That's why I flipped it into a full agentic solution. That is still Open-Source for you to reuse and contribute to. If you manage Azure, or you just want to learn more about the platform with actual scenarios to deploy, but you don't want to build them manually, this session is for you!",https://linkedin.com/in/pdtit,,,,Peter De Tender - Conf42 AI Agents 2026.pdf,Peter De Tender_agents.png,https://youtu.be/4gDWlMCo11A,"azure,deployment,automation",
No,data,Dmytro Hlotenko,Sr. Cloud Ops Engineer,Sage,,,,"My Step Functions DAG Was a Lie: Going Agentic on 8,000 Photos","Once I decided to translate my photography experience into a serverless pipeline. I judged 8000 photos of your faces, and it was a big success - we turned a problem into a solution with AWS. Lambdas, Rekognition, Bedrock and the rest played together as a system, delivering a memorable AWS Community Day.  The talk traveled far - but it had a fatal weakness. It was good while it lived in the conference room. Outside, my taste - hardcoded into weights and thresholds, and a single Claude call guessing how to process every file - brought things to disaster. It ran rules I wrote for photographs I hadn't taken yet, and failed silently on every shot that didn't fit. Terraform destroy.  Vérité This year I tore out every guess. With agents.  Imagine swapping the single photographer for the press agency. I'll show how to keep a mature orchestration relevant in the agentic era. How a chain of pipelines became a grid of agents - separate programs, each with its own tooling and skills distilled from real photography craft. Where the agent reasons about what belongs and judges against real craft, not one engineer's gut. Where v1 had a frozen rule, v2 has a program that thinks.  I'll draw the parallels - where we broke through, where classic approaches still win, which weaknesses got replaced and what each agent does instead. You'll leave with a pattern for any rigid pipeline: which box is a guess, and what if it could reason instead?  Last year I automated my hands. This year, my judgment.",https://www.linkedin.com/in/dmytro-hlotenko-7aa348151/,,,,,Dmytro Hlotenko_agents.png,https://youtu.be/Nbi4urdt7_c,"serverless,photos,aws",
No,data,Kabir Ibraheem,Software Engineer,Meltwater,,,,Riding the AI wave as a fullstack engineer,"We will be taking a walk through the various tools and techniques for full-stack engineers to leverage the various AI tools to improve efficiency and stay ahead of the curve in the fast paced, growing labyrinth of AI tools and techniques available. The talk will also take a short look at integrating with some of the more populate AI powered coding tools like cloud ai, github copilot and cursor. We will explore how this tool can help developers write and ship maintainable and well tested code faster and easier with real world simple examples. We will also explore some of the intricacies of making client side (frontend) development easier using code generation tools from figma on a minimal level.",https://www.linkedin.com/in/kabir-ibraheem-3ba663129/,,,,Kabir Ibraheem - Conf42 AI Agents 2026.pdf,Kabir Ibraheem_agents.png,https://youtu.be/yKjWTlMAdYM,"fullstack,tooling,productivity",
No,data,Rohit Deshpande,Sr Staff Engineer,SAP,Scott Young,Sr. Director Innovation,SAP,From Prompt to Production Dashboard: Agentic AI with MCP Servers and Live Data,"Description What happens between a user typing ""Show me AR aging by customer"" and a fully interactive dashboard appearing on screen? This talk pulls back the curtain on a production agentic system that turns natural language into deployed dashboards — complete with KPIs, charts, and filterable tables — powered by live enterprise data.  At the core is a ReAct agent loop that reasons about data needs, discovers available tools at runtime, and iterates through up to 10 cycles of thought-action-observation to produce a structured DashboardSpec. The agent connects to enterprise ERP data through MCP (Model Context Protocol) servers, an open protocol for dynamic tool discovery across multiple transports (SSE and Streamable HTTP), with a Redis caching layer that cuts repeated query latency by 50x.  Dashboards aren't throwaway artifacts — they're versioned resources. An append-only versioning model in Cassandra supports full CRUD, while an edit supervisor agent handles conversational modifications, deciding which components need a data refetch versus a pure visualization change. Every step — tool calls, agent reasoning, validation results, final render — streams to the frontend in real time via GraphQL subscriptions over WebSocket.  The architecture is built on portable, open technologies: LangGraph for agent orchestration, FastAPI for the service layer, and Strawberry GraphQL for the subscription API. No vendor lock-in, no proprietary frameworks.  This is a live demo talk. You'll watch the system handle ambiguous prompts, recover from MCP server failures, and validate outputs through structured tool schemas — then walk away with an architecture pattern you can implement Monday morning.",https://www.linkedin.com/in/rohit-deshpande-65840730,,https://www.linkedin.com/in/scottryoung,,,Rohit Deshpande & Scott Young_agents.png,https://youtu.be/eYYo9EIJT-A,"mcp,dashboards,live",
No,engineering,Guido Scheffler,Executive Consultant,CGI,,,,From Prompts to Review Harnesses: Scaling AI Code Reviews Across 70+ Software Projects,"How do you turn brittle AI prompts into a reliable review process for many software projects? This experience report shows the evolution from prompt-based AI reviews to a deterministic review harness with an agent runner, MCP server, managed checklists, enforced completeness, persisted intermediate results, automated reports, and an interactive result UI.",https://www.linkedin.com/in/guido-scheffler-5214205b/,,,,Guido Scheffler - Conf42 AI Agents 2026.pdf,Guido Scheffler_agents.png,https://youtu.be/otS6L-AAnEo,"code,review,harness",
No,engineering,Kemet Dugue,Software Engineer,Uber,,,,Integrating Agentic Workflows: Scaling Engineering Productivity for Uber's Driver Onboarding Team,"In this session, we’ll dive into a case study on how the Driver Onboarding team transitioned lots of manual, script-heavy engineering processes into agentic-based ones. We’ll explore how various AI agents were integrated into the developer lifecycle to scale team output.  The session will include: - Existing workflows and the pain points associated with them - How the team transitioned those workflows into agentic-based ones - Overview of the AI-based tools and landscape at Uber - Best practices for integrated agentic workflows",https://www.linkedin.com/in/kemet-dugue,,,,Kemet Dugue - Conf42 AI Agents 2026.pdf,Kemet Dugue_agents.png,https://youtu.be/G7W5sQMq5Uk,"workflows,productivity,onboarding",
No,engineering,Ruben Marcus Luz Paschoarelli,Senior AI Fullstack Engineer,MultiVM Labs,,,,The Harness Decides What to Trust: Running AI Coding Loops Without Shipping Fiction,"AI coding does not fail because models are weak. It fails because the system around them trusts the wrong evidence. I will show the harness I use to turn agent output into something shippable: short specs, isolated git worktrees, model routing by role, browser-based verification, screenshot gates, regression hunters, and cost controls. The same operating style powers Ralph Starter, my portfolio build pipeline, and the benchmark loops behind public #1 results. The point is not use more agents. The point is that builders should not grade their own work, a passing build is not proof of a good UI, and every keep decision needs a ruler. Attendees will leave with a practical blueprint for building agent loops that stop on evidence instead of confidence.",https://linkedin.com/in/rubenmarcus,,,,Ruben Marcus Luz Paschoarelli - Conf42 AI Agents 2026.pdf,Ruben Marcus Luz Paschoarelli_agents.png,https://youtu.be/4M5rn29gDAA,"coding,harness,evidence",
