Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Hilik Paz,Co-founder & CEO,Arato.ai,,,,Model-Based Input Validation for Preventing Prompt Injection Attacks,"As Large Language Models (LLMs) become increasingly integrated into various applications, the threat of prompt injection attacks has emerged as a significant security concern. This presentation introduces a novel model-based input validation approach to mitigate these attacks in LLM-integrated applications.

We present a meta-prompt methodology that acts as an intermediate validator, examining user inputs before they reach the LLM. Our approach builds on established input validation techniques, drawing parallels with traditional security measures like SQL injection prevention.

Throughout the presentation, we will discuss the challenges of input validation in LLM contexts and explore how our model-based approach provides a more flexible and adaptive solution. We'll share preliminary results from evaluations against established prompt injection datasets, highlighting the effectiveness of our methodology in detecting and mitigating various types of injection attempts.

Join us for an insightful exploration of this innovative approach to enhancing the security of LLM applications through advanced prompt engineering techniques, and learn how to implement robust input validation mechanisms to safeguard your AI-driven systems.",https://www.linkedin.com/in/hilikpaz/,,,,,Hilik Paz_prompt.png,https://youtu.be/T2V0WMI6Ziw,"model-based,input,validation",
No,ai,Batandwa Mgutsi,Junior Software Engineer,BBD,,,,AI Orchestration: Getting Super Agents to Complete a Mission,"I will discuss how AI agents can be orchestrated to manage a business, particularly for individuals with side hustles. The focus will be on leveraging AI to ""multiply efforts."" I will also address safety concerns, challenges, and potential solutions to overcome these obstacles.",https://www.linkedin.com/in/batandwamgutsi/,@BMgutsi,,,Batandwa Mgutsi - Conf42 Prompt Engineering 2024.pdf,Batandwa Mgutsi_prompt.png,https://youtu.be/2iBv8LBfHo0,"ai,orchestration,superagents",
No,ai,Akshat Kapoor,Director Product Line Management,Alcatel-Lucent Enterprise,,,,Predictive Network Maintenance: How AI Forecasts System Failures,"Imagine a world where network outages are nearly obsolete, and system failures are predicted before they happen. In my talk, Predictive Network Maintenance: How AI Forecasts System Failures, I’ll show how AI predicts issues and suggests preventive actions, saving time and costs.",https://www.linkedin.com/in/akshat-kapoor-642a451/,,,,Akshat Kapoor - Conf42 Prompt Engineering 2024.pdf,Akshat Kapoor_prompt.png,https://youtu.be/XcU30sOUymw,"predictive,network,failures",
No,ai,Bohdan Snisar,Senior Software Engineer,ex-Revolut,,,,GepAI in Development Processes and Dev Tools,"Let me show you how GepAI can revolutionize your development process. By automating coding, debugging, and deployments, your team can focus on innovation, launch faster, and reduce errors. In just a few minutes, I'll explain how GepAI unlocks your team’s full potential.",https://www.linkedin.com/in/bsnisar/,,,,Bohdan Snisar - Conf42 Prompt Engineering 2024.pdf,Bohdan Snisar_prompt.png,https://youtu.be/Co2GQBtgOjk,"gepai,development,tools",
No,ai,Sijo Valayakkad Manikandan,,Nike,,,,Optimizing Retail Forecasting Through Advanced AI Models: The Role of Prompt Engineering,"Unlock the future of retail with AI-powered forecasting! Discover how prompt engineering revolutionizes demand prediction, boosts customer experience, and slashes costs. Learn from industry giants like Amazon and Kroger to stay ahead in an ever-changing market with cutting-edge predictive models!",,,,,Sijo Valayakkad Manikandan - Conf42 Prompt Engineering 2024.pdf,Sijo Valayakkad Manikandan_prompt.png,https://youtu.be/In4O0C0BTAk,"retail,forecasting,ai",
No,ai,Vijay Valaboju,Senior Software Engineer,Microsoft,,,,Prompt Engineering in Reinforcement Learning: AI-Driven Assessments for Continuous Learning and Skill Development,"Unlock the future of learning with reinforcement learning (RL) and AI-driven assessments! Discover how prompt engineering powers personalized, adaptive learning journeys that boost engagement, retention, and mastery.",https://www.linkedin.com/in/vijay-kumar-valaboju-17320a15/,,,,Vijay Valaboju - Conf42 Prompt Engineering 2024.pdf,Vijay Valaboju_prompt.png,https://youtu.be/PrPZZYU-eOA,"learning,promptengineering,ai",
No,chatbots,Marina Goplacheva,"Product Owner, Conversational AI, HR Transformation Department",Sberbank,,,,Unlocking the Future of HR Tech: How to Build Intelligent Conversational AI Experiences,"Unlock the future of HR with AI! In How to Build Intelligent Conversational AI Experiences, I'll show you how to harness chatbots and virtual assistants to transform recruitment, onboarding, and employee engagement—making your HR processes smarter, faster, and more human-centric.",https://www.linkedin.com/in/marina-goplacheva/,,,,,Marina Goplacheva_prompt.png,https://youtu.be/k0efl-XnOE0,"hrtech,conversationalai,intelligent",
No,chatbots,Charlie Reynolds,Founder,CTR Consulting,,,,Prompt Engineering: Mastering the Art and Science of AI Communication,"Unlock the secrets behind crafting effective AI prompts that power everything from chatbots to code generation. Learn real-world techniques and best practices to optimize interactions with AI models, whether you're a developer, product manager, or tech enthusiast.",https://www.linkedin.com/in/charliereynoldsctr/,,,,Charlie Reynolds - Conf42 Prompt Engineering 2024.pdf,Charlie Reynolds_prompt.png,https://youtu.be/dbc-zMn1UZo,"promptengineering,science,art",
No,chatbots,Daniel Pries,Engineering Manager,,,,,How you can trick your company into hiring ChatGPT,"I had my company hire ""Chet Gupta,"" aka ChatGPT—a model software engineer with a fantastic resume and perfect answers that doesn’t exist. In this talk, we will walk through the circumstances that allowed this to happen.",https://www.linkedin.com/in/danielmpries/,,,,,Daniel Pries_prompt.png,https://youtu.be/pBtC1pL7fk8,"chatgpt,hiring,trick",
No,chatbots,Konstantinos Passadis,Cloud Solutions Architect,EPAM,,,,"Azure AI Prompt Flow, Vectors & Embeddings: End-to-End Chatbot Web App with Your Own Data","Join our workshop on the future of intelligent chatbot development! Seamlessly integrate Azure Cosmos DB for vectorization, leverage Hugging Face, and craft Prompt Flows within React. This workshop is designed for all audiences looking to learn chatbot development skills and AI development.",https://www.linkedin.com/in/kpassad/,,,,Konstantinos Passadis - Conf42 Prompt Engineering 2024.pdf,Konstantinos Passadis_prompt.png,https://youtu.be/VxTS8dnDh3Q,"azure,promptflow,chatbot",
