Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Prateek Mittal,Director of Product Management,Harness,,,,Shipping with Context: Knowledge Graphs as the Backbone of AI-First Software Delivery,"AI is changing how software gets written, but writing code faster is only part of the challenge. The harder question is whether AI can understand what that code means inside the context of an organization: the services it touches, the risks it introduces, the teams responsible for it, the policies it must follow, and the production systems it may impact.

In this talk, we’ll explore why knowledge graphs are becoming a foundational layer for AI-first software delivery. As engineering environments become more complex, critical context is often fragmented across CI/CD pipelines, security tools, observability platforms, cloud infrastructure, ticketing systems, and team workflows. Without that connected context, AI agents can generate outputs, but they struggle to make reliable, governed decisions.

We’ll discuss how knowledge graphs differ from traditional observability platforms, how they help AI agents reason across the software delivery lifecycle, and why shared context is becoming essential for DevOps, SecOps, FinOps, and platform engineering. We’ll also cover the role of RBAC, policy guardrails, and governance in making enterprise AI systems trustworthy.

The next bottleneck in AI adoption will not be model capability. It will be context.", https://www.linkedin.com/in/prateekmittal2/,,,,,Prateek Mittal_llms.png,https://youtu.be/qLVncVc9Qg4,"knowledge,graphs,delivery",
No,ai,Anannya Roy Chowdhury,GenAI Developer/Advocate,AWS,,,,Make Agents Remember the Right Context at the Right Time,"Agentic systems are rapidly moving from prototypes to productionbut a critical challenge remains unsolved: memory. In real-world deployments, agents dont fail because they cant reasonthey fail because they retrieve the wrong context, forget important signals, or overload themselves with irrelevant information. This talk dives deep into memory architectures for production-grade agent systems, moving beyond naive vector database + RAG patterns. We introduce a practical framework for designing agent memory across three layers: working memory (context window), retrieval memory , and persistent memory and how to orchestrate them effectively.  Well explore: Dynamic context management: what to keep, compress, or discard Hybrid retrieval strategies combining semantic, structured signals Well also present a reference architecture and real-world failure scenarios, showing how poor memory design leads to hallucinations, cascading agent errors, and cost blowupsand how to fix them.",https://www.linkedin.com/in/royanannya/,,,,,Anannya Roy Chowdhury_llms.png,https://youtu.be/TVvo_Atx8lk,"memory,agents,context",
No,ai,Anton Denisov,Revenue Growth,Dwelly,,,,Teaching and LLM to Catch British Sarcasm,"Customer dissatisfaction is often expressed indirectly, especially in professional communication where complaints are softened by politeness, understatement, or even silence.

This talk covers the design and deployment of a sentiment analysis system that processes emails and phone conversations to identify dissatisfaction and churn risk. We'll explore the challenges of working with real-world communication, including ambiguous language, British politeness, incomplete data, and channel-specific behaviors.

The session focuses on dataset design, labeling, prompt engineering, LLM-based classification, and the lessons learned from running the system in production.",https://www.linkedin.com/in/anton-denisov-6b40771b/,,,,,Anton Denisov_llms.png,https://youtu.be/FTQTsFjrweY,"british,sarcasm",
No,ai,Bohdan Snisar,Founding engineer,Solea AI,,,,Voice Agents That Think While They Talk: From STT–LLM–TTS Pipelines to Realtime Parallel Reasoning,"The classic voice-agent pipeline — STT - LLM - TTS — is modular and observable, but every stage waits for the previous one. With a conversation budget under 500 milliseconds, there is almost no room for deep reasoning. Streaming reduces perceived latency but does not solve reasoning depth: the main voice loop is too time-sensitive to block on retrieval, policy checks, or multi-step planning.

This talk builds a production voice pipeline layer by layer  from naive chained models through realtime audio transport, VAD, endpointing, and turn detection. Then shows where it hits the wall. We introduce the LTS-VoiceAgent architecture as the turning point: a Dynamic Semantic Trigger starts background reasoning before the user finishes speaking, while a Dual-Role Stream Orchestrator separates a background Thinker (maintaining a delta-state table) from a foreground Speaker that responds from injected state and steers mid-utterance as richer state arrives.

We then extend LTS from one Thinker into a multi-agent sidecar architecture. Standard LLM patterns — intent classification, retrieval, policy checking, tool planning, and evaluation — run as parallel sidecars over the live transcript stream. A reducer merges their outputs, resolves conflicts, and predicts the next action, producing one compact state object for the voice agent.

The user hears one agent. Internally, multiple LLM workflows reason in parallel while the conversation unfolds.",https://www.linkedin.com/in/bsnisar/,,,,,Bohdan Snisar_llms.png,https://youtu.be/5XSR13KHev4,https://youtu.be/5XSR13KHev4,
No,agents,Lior Schejter,Lead R&D Architect,,,,,"Beyond the Context Window: Building a ""Mental Model"" for Your AI Agents","Weve all seen what happens when you give an LLM a single repo: its usually quite successful. But what happens when you give it a distributed system with 200 microservices? It gets lost in the ""muddy middle"". The bottleneck in AI-driven development isn't code generation; its architectural context.  This talk introduces the Application Architecture Hub - a living, AI-maintained knowledge base designed specifically for agent consumption.   We will explore how to move away from static, stale documentation and toward a system of automated ""facets"" (APIs, Domain Models, Events, and more) that allow AI agents to troubleshoot, design, and assess impact across your entire ecosystem. We'll explore how this can benefit workflows beyond coding, across the organization.  Attendees will leave with a blueprint for building an ingestion pipeline that keeps their AI agents (and their humans) in sync with the ""truth"" of the codebase.",https://www.linkedin.com/in/liors/,,,,,Lior Schejter_llms.png,https://youtu.be/xUtMaen3D3Y,"context,agents,reasoning",
No,agents,Mazdul Choudhury,Staff Product Manager,Walmart,,,,LLM Agents as Co Pilots for Scalable Decision Systems in Production Environments,"Large Language Models are rapidly evolving from experimental tools into core components of production systems, yet many organizations still struggle to translate their capabilities into reliable, decision oriented applications. While most implementations focus on chat interfaces or isolated automation, the real opportunity lies in using LLM agents as co pilots within complex decision systems that operate at scale.  This session presents a practical approach to embedding LLM driven agents into real world decision workflows, using forecasting and operational planning as a representative use case. The talk introduces a three layer architecture designed for production environments. The first layer focuses on signal aggregation, where structured and unstructured data sources are continuously processed to create a unified context. The second layer leverages LLM agents to reason over this context, generate adaptive forecasts, recommend actions, and explain outcomes in natural language. The third layer enables human interaction, allowing users to query the system, evaluate scenarios, and guide decisions through conversational interfaces.  The session highlights key challenges encountered in deploying such systems, including managing hallucinations, ensuring consistency across decisions, handling latency constraints, and maintaining cost efficiency at scale. It also explores patterns for grounding LLM outputs using enterprise data, orchestrating multi step reasoning, and integrating agents into existing operational workflows without disrupting system stability.  Rather than replacing human expertise, LLM agents augment decision making by reducing cognitive load and enabling faster scenario evaluation. Attendees will gain actionable insights into designing, deploying, and scaling LLM powered decision systems that move beyond experimentation into measurable business impact, along with practical considerations for building reliable and adaptable AI driven architectures in production environments.",https://www.linkedin.com/in/mazdul/,,,,,Mazdul Choudhury_llms.png,https://youtu.be/6nLRZtMYfmw,"copilots,decision,agents",
No,agents,Vsevolod Voropaev,Founding engineer,Olo din,,,,The Judge Problem: Why Your Agentic Verifier is Silently Rotting in Production,"Every agentic system eventually faces the same question: who judges the agent? Most teams bolt on a verifier late, treat it as QA, and watch it collapse under real-world load. This session argues that the verifier is the hardest component to build and the most expensive to get wrong.  Drawing on production work with a bandit-based verification layer routing across Claude, GPT, and Gemini, we will cover:  The Intelligence Inversion: Why verifiers should usually be smarter than the agents they watch.  Systematic Disagreement: How to identify and exploit predictable patterns in LLM-as-judge setups.  Dynamic Routing: Moving beyond simple ensemble voting to sophisticated bandit routing.  Scale Economics: What true verification costs look like when moving from demo to production.  Attendees will leave with a clear framework for building verification layers that are more resilient than the agents they monitor.",https://www.linkedin.com/in/vsevolodvv/,,,,,Vsevolod Voropaev_llms.png,https://youtu.be/Haa1DCigr_o,"verification,agents,production",
No,data,Mohanraj Varatharaj,Lead software engineer,,,,,Building Real-Time AI Decision Systems with Large Language Models,"As enterprises adopt large language models across business and engineering workflows, the challenge is no longer just deploying AI models, but integrating them into reliable, real-time decision systems. This session explores how organizations are combining LLMs, analytics, and modern data platforms to support scalable operational intelligence across complex environments.  The talk examines practical implementation challenges including fragmented data sources, governance concerns, infrastructure scalability, and maintaining trust in AI-assisted recommendations. It also discusses how enterprises are moving from static reporting and isolated AI experiments toward continuously evolving systems that combine predictive analytics, streaming data, and LLM-assisted insights.  Drawing from enterprise implementation studies and modernization initiatives, the session will cover architectural approaches for integrating AI models into production workflows while balancing performance, observability, and operational reliability. Additional discussion will focus on how reinforcement learning, retrieval-based systems, and real-time analytics pipelines are being applied to improve responsiveness and decision quality without adding unnecessary system complexity.  This session is intended for AI engineers, software developers, architects, platform teams, and technology leaders interested in practical approaches to building scalable and reliable AI-driven decision systems.",https://www.linkedin.com/in/mohanraj-varatharaj-30967b87/,,,,,Mohanraj Varatharaj_llms.png,https://youtu.be/aNsdP7F6XAY,"realtime,decisions,llms",
No,data,Rakesh Jha,Manager Application Delivery,DXC Technology,,,,"LLM-Driven Financial Ledgers: Building Intelligent, Real-Time Accounting Systems at Scale","The rise of Large Language Models (LLMs) is reshaping how financial systems are designed, built, and operatedespecially in traditionally rigid domains like General Ledger (GL) systems. This talk presents a practical, architecture-first approach to integrating LLMs into AI-powered financial ledgers, drawing from real-world system design and deployment experiences in the insurance sector. We explore how LLMs augment event-driven architectures built on Apache Kafka by enabling intelligent processing of unstructured financial data, automating journal entry generation, and enhancing reconciliation workflows through contextual understanding.  Beyond theory, this session dives into what actually works in production: combining LLMs with structured ML models (such as LSTM and Random Forests), implementing retrieval-augmented generation (RAG) for auditability, and addressing latency, cost, and reliability challenges in high-throughput environments. We also discuss lessons learnedfailure modes, prompt engineering pitfalls, and observability strategies that made complex AI systems manageable.  Attendees will gain actionable insights into designing scalable, compliant, and efficient LLM-driven financial platforms, including security considerations and performance tuning. This talk is ideal for engineers and architects looking to move beyond experimentation and build robust, real-world LLM applications in fintech.",https://www.linkedin.com/in/rakesh-jha/,,,,,Rakesh Jha_llms.png,https://youtu.be/UQahnXR6_7Q,"ledgers,finance,accounting",
No,data,Tim Spann,Senior Solution Engineer,Snowflake,,,,Automating Database Operations with Cortex Code,"With Cortex Code and the power of DBT, SQL, Python and autonomous agents we can easily manage and build advanced automation, continuous integration, continuous deployment and version control.   By using Snowflake authored skills, Cortex Code CLI allows for natural language to manage schema creation and change, with full testing and automated deployments.",https://www.linkedin.com/in/timothyspann/,,,,,Tim Spann_llms.png,https://youtu.be/pWt1_bmnPZ8,"sql,automation,operations",
