Panel,Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration,
,yes,,Gunnar Grosch,Principal Developer Advocate,AWS,,,,Enhancing Hypothesis Development Through Resilience Modeling,"In this session, you will learn how to build a resilience model to create valuable hypotheses that enable you to maximize the value of your chaos engineering experiments.",https://www.linkedin.com/in/gunnargrosch/,@gunnargrosch,,,,Gunnar Grosch_chaos.png,https://youtu.be/Ed6g6yFUE5E,"hypothesis development,resilience modeling",30,
Yes,,,,,,,,,Chaos Engineering 2024 Panel Discussion,"How are chaos engineering tools performing in 2024? Join the discussion with Anurag Palwal from Chaos Mesh community, Karthik Satchinanand from Litmus Chaos community, Sylvain Hellegouarch from the Chaos Toolkint community and Miko Pawlikowski from Powerful Seal community. The Panel is moderated by Prithvi Raj.",https://youtu.be/RoXPg2exQ7M,,,,,Chaos Engineering_2024_Panel_Discussion.png,https://youtu.be/RoXPg2exQ7M,,"panel,discussion",30
,no,ai,Francesco Sbaraglia,SRE Tech lead ASG,Accenture,Michele Dodic,SRE Associate Manager,Accenture,Chaos Engineering in the Fast Lane: Accelerating Resilience with AI and eBPF,"The rapidly growing complexity of distributed services and continuously evolving micro-service architectures currently affect individuals and organizations on every level. These phenomena, in turn, result in an ever-increasing amount of time-to-detect and time-to-resolve potential issues. Despite continuous and increasing investments in automation and security, the challenge remains with SRE and DevSecOps teams struggling to uncover and patch weak spots. While traditional, infrastructure-based chaos experiments only begin to scratch the surface of this challenge, Chaos Engineering powered by AI digs deeper.
In this session, we will provide a detailed walkthrough on how to ideate, plan, implement, and run chaos experiments. To achieve better context-awareness on a more cloud-native level, we will apply an evolving piece of technology called eBPF, which makes the kernel programmable. On top of that, we will demonstrate how the integration of GenAI can help us evaluate the magnitude of the impact of the chaos experiment. All of that will be exemplified in a live demo, featuring a CI/CD DevSecOps deployment pipeline instrumented with eBPF, as well as integrated with OpenAI and observability tooling.",https://www.linkedin.com/in/fsbaraglia/,,https://www.linkedin.com/in/michele-dodic/,,,Francesco Sbaraglia & Michele Dodic_chaos.png,https://youtu.be/VcTYEkCL8aE,"accelerating,resilience,ebpf",,
,no,ai,Indika Wimalasuriya,Senior Systems Engineering Manager,Virtusa,,,,Smart Chaos : Leveraging Generative AI in Chaos Engineering,"The contemporary distributed ecosystem, characterized by speed, scale, and complexity, has surpassed the capacity of human mental modeling. Generative AI is now offering a solution to this intricate problem by enabling the implementation of Smart Chaos, reducing the dependency on human involvement.",https://www.linkedin.com/in/indika-wimalasuriya/,,,,,Indika Wimalasuriya_chaos.png,https://youtu.be/1HapyDruZeU,"smart chaos,generative AI",,
,no,architecture,Kiranpreet Chawla,Solutions Architect,AWS,,,,Resilient and well-architected apps with chaos engineering,"Well-architected applications are built to be secure, high-performing, and resilient. In this session, you will learn how to apply chaos engineering using AWS Fault Injection Simulator, stress your application, simulate disruptive events, and observe the system response.",https://www.linkedin.com/in/kiranpreet-chawla/,,,,,Kiranpreet Chawla_chaos.png,https://youtu.be/nkEIsHJuWmo,"resilient,apps",,
,no,architecture,Opemipo Disu,Developer Advocate,Fermyon Technologies,,,,MightyMeld Architecture 101: Crafting the Future of Frontend Development,"This talk is designed for both seasoned developers seeking to deepen their understanding of modern frontend architectures with MightyMeld.
This talk promises to demystify the core components, offering a glimpse into a transformative approach that empowers developers to build web applications.",https://www.linkedin.com/in/coderoflagos/,@coderoflagos,,,,Opemipo Disu_chaos.png,,"mightymeld architecture,frontend",,
,no,architecture,Bent Krause,Associate Solutions Architect,AWS,Oliver Steenbuck,Solutions Architect,AWS,Chaos in the cloud,"Beyond Traditional Testing: Cloud infrastructure adds an additional layer for testing in our traditional application landscape. We will demonstrate how to run Chaos Experiments at the Cloud Infrastructure Layer, using the AWS Fault Injection Simulator (Demo). Audience: engineers/architects.",https://www.linkedin.com/in/bent-krause,,https://www.linkedin.com/in/oliver-steenbuck/,,,Bent Krause & Oliver Steenbuck_chaos.png,https://youtu.be/E5Ti8tu5v0A,"chaos,cloud",,
,no,business,Okikiola Oliyide,Cloud DevOps Engineer,TechChak,,,,The Startup Dilemma: Navigating DevOps Economics,"I'm Okiki, the balancing act of minimizing expenses while upholding the five pillars of cloud architecture is my forte. In my talk, I'll unveil the innovative strategies I've employed to rearchitect systems, slashing costs dramatically without compromising on performance, reliability, or security.",https://www.linkedin.com/in/okikiola-oliyide/,,,,,Okikiola Oliyide_chaos.png,,"startup dilemma,devops economics",,
,no,business,Andrew Benoit,Sales Leader & G2M Advisor,,,,,Selling your Company on Chaos Engineering,"Andrew has focused over a decade of his career selling software the keeps the internet highly available, 3 years in Chaos.   He'll share how he's seen initiative leaders get buy-in for the spend and internal resources they need, including overcoming internal political battles and building ROI documents.",https://www.linkedin.com/in/andrewbenoit/,,,,,Andrew Benoit_chaos.png,https://youtu.be/OWcOrD6JFRE,"selling,company",,
,no,business,Tejendra Bhandari,Cloud security architect,Nokia,,,,Chaos multi-domain scenarios and its business impacts,Multi-domain impacts of chaos theory and its implementation are currently the real challenge among SREs. We tend to apply the same theory in different contexts but fail to understand the business gains. I will emphasize benchmarking chaos tools and gauging the business importance of chaos cases.,https://www.linkedin.com/in/tejendra-bhandari-96a143a/,,,,,Tejendra Bhandari_chaos.png,,"multi-domain,scenarios",,
