Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Benjamin Wilms,Co-Founder & CEO,Steadybit,,,,How to Build a Reliable System Under Unpredictable Conditions,"Modern businesses depend on the stability and reliability of their systems. Downtime is costly, and outages are inevitable—what matters is how we prepare for and respond to them. With the complexity of today’s microservice architectures, understanding and assessing risk at any given moment is critical. Engineering teams must strike a balance between delivering new features and maintaining system resilience. But systems are more than just technology—they are a dynamic interplay of multiple elements: infrastructure, teams, people, and processes. Are these components perfectly aligned? Does everyone know what to do when things go wrong? In this session, we will put the system to the test. Through live experiments, we’ll uncover hidden risks and explore strategies to build resilience at every level. You'll walk away with actionable insights to strengthen both your technology and your teams, ensuring reliable service delivery even in unpredictable conditions.",https://www.linkedin.com/in/benjamin-wilms/,@MrBWilms,,,Benjamin Wilms - Conf42 Chaos Enginering 2025.pdf,Benjamin Wilms_chaos.png,https://youtu.be/I4ONmOzUMD4,"reliable,system,unpredictable",
Yes,,Mihaela-Roxana Ghidersa,Technical Lead,Signant Health,,,,Mindset by Design: Transforming How You Build Software,"In this talk, we'll explore how your reasoning patterns can revolutionize your approach to software design and decision-making, strategies for making more intelligent decisions, designing more resilient systems, and driving personal and professional growth.",https://www.linkedin.com/in/ghidersam/,MihaelaGhidersa,,,,Mihaela-Roxana Ghidersa_chaos.png,https://youtu.be/iLLHVimdXFA,"mindset,software,build",
Yes,,Rinku Mohan,Senior Software Engineer,bettercoach,,,,"Mastering Seamless Single Sign-On: Design, Challenges, and Implementation","Learn to design secure and efficient SSO solutions, tackle integration challenges, and optimize for modern enterprise systems.",https://www.linkedin.com/in/rinku-mohan-06419310a/,,,,Rinku Mohan - Conf42 Chaos Enginering 2025.pdf,Rinku Mohan_chaos.png,https://youtu.be/cJBVLUoesVM,"signon,design,implementation",
Yes,,Pierluigi Meloni,Co-Founder & CEO,Utterskills,,,,"Why People, Not Yet Another Tool, Hold the Key to Tech Success","70% of tech projects are unsuccessful due to human factors, not tech. It’s a people business—solutions are built by, with and for people, with tech serving only as a tool. Especially in the AI era, coding skills alone aren't enough. This talk dives into Skills Beyond Code and shares expert hacks.",https://www.linkedin.com/in/pierluigi-meloni/,,,,,Pierluigi Meloni_chaos.png,https://youtu.be/GKOMgNMl8g0,"success,people,tech",
Yes,,Sayan Mondal,Senior Software Engineer,Harness,,,,Cultural Shifts: Fostering a Chaos First Mindset in Platform Engineering,"What if your IDP could test resilience too? Discover how Chaos Engineering fits into the platform engineering toolbox, enhancing CI/CD, stress-testing services, and fortifying reliability. Make your IDP the ultimate single source of truth for building systems that never back down!",https://www.linkedin.com/in/s-ayanide/,s_ayanide,,,Sayan Mondal - Conf42 Chaos Enginering 2025.pdf,Sayan Mondal_chaos.png,https://youtu.be/6dOWiZqjy2g,"cultural,mindset,platform",
No,ai,Muddassar Sharif,Co-Founder & CTO,Virtuans.ai,,,,AI Model Monitoring: Building Reliable Alert Systems,"By simulating failures and stress-testing alert systems, let's find out how Chaos Engineering can enhance the reliability of AI model monitoring.",https://www.linkedin.com/in/muddassar-sharif-4b1b86121/,,,,Muddassar Sharif - Conf42 Chaos Enginering 2025.pdf,Muddassar Sharif_chaos.png,https://youtu.be/6nGzSs1lxYY,"ai,model,systems",
No,ai,Prashanth Reddy Kora,Cloud Database Engineer,Centene Corporation,,,,"Harnessing Chaos Engineering for Scalable, Cost-Efficient, and Secure Cloud Database Systems","Discover how chaos engineering can supercharge cloud database systems! Learn to build scalable and secure solutions by simulating failures and stress testing in real-time. Uncover key strategies for optimizing performance, reducing downtime, and mastering cloud DBMS resilience for the future.",https://www.linkedin.com/in/prashanth-reddy-k-161535157/,,,,Prashanth Reddy Kora - Conf42 Chaos Enginering 2025.pdf,Prashanth Reddy Kora_chaos.png,https://youtu.be/l_GiRFT_aD0,"chaos,cloud,systems",
No,ai,Shashank Reddy Beeravelly,Software Engineer,Walmart,,,,"Harnessing AI for Chaos-Resilient Data Quality: Ensuring Accuracy, Speed, and Real-World Impact","Struggling with chaotic, unreliable data? Discover how AI slashes data errors, boosts accuracy by 42%, and processes 850K records/min with 99% precision. Learn real-world strategies to transform your data ecosystem, cut costs, and drive smarter decisions—faster. AI is your chaos-proof advantage!",https://www.linkedin.com/in/shashankreddyb/,,,,Shashank Reddy Beeravelly - Conf42 Chaos Enginering 2025.pdf,Shashank Reddy Beeravelly_chaos.png,https://youtu.be/Bx7p-z8Mhkc,"ai,data,quality",
No,apis,Rao Marapatla,"Director, Data Infrastructure and Reporting",BreakthroughT1D,,,,Revolutionizing Nonprofit Marketing Analytics with a Unified API Ecosystem for Real-Time Insights,"Discover how a cutting-edge API ecosystem revolutionized nonprofit marketing analytics! Learn to integrate data from top media platforms, automate workflows, and deliver real-time insights. Empower your organization with actionable strategies to boost efficiency, decision-making in a digital world!",https://www.linkedin.com/in/raomarapatla/,,,,Rao Marapatla - Conf42 Chaos Enginering 2025.pdf,Rao Marapatla_chaos.png,https://youtu.be/NjXvMA9qAF4,"analytics,marketing,insights",
No,apis,Vivek Kumar,Software Engineer,FAANG,,,,Hosting Applications on VPS vs Docker: Key Differences and Best Practices,"In this talk, I'll compare traditional VPS hosting with Docker’s container-based approach, focusing on key factors like deployment, team productivity, resource efficiency, application management, and scalability. I’ll share how migrating to Docker cut AWS costs by 20% for the Swoo App and explore orchestration tools like Kubernetes for managing containers efficiently. This session will offer practical insights into how Docker can transform your hosting strategy and optimize performance",https://www.linkedin.com/in/vivekkumariitb/,,,,Vivek Kumar - Conf42 Chaos Enginering 2025.pdf,Vivek Kumar_chaos.png,https://youtu.be/I_NX6O4pDOM,"apps,vps,docker",
